"State","County","Low_access._seniors_age_65+_at_1/2_mile._number","Low_access._seniors_age_65+_at_1/2_mile._share","Low_access._seniors_age_65+_at_1_mile._number","Low_access._seniors_age_65+_at_1_mile._share","Low_access._seniors_age_65+_at_10_miles._number","Low_access._seniors_age_65+_at_10_miles._share","Low_access._seniors_age_65+_at_20_miles._number","Low_access._seniors_age_65+_at_20_miles._share"
"AK","Aleutians East",132.9827731348,85.79533751,102.1984603458,65.93449055,43.5252176647,28.08078559,42.0000014212,27.09677511
"AK","Aleutians West",71.0712822888,71.55049276,60.40400143635,61.30620805,20.24665489375,26.887723015,20.00000009845,26.6666668
"AK","Anchorage",281.53724231488,76.6029456534545,129.114237008653,37.4598187401818,0.41103769722,0.308779219090909,0.00578130878363636,0.00192710290909091
"AK","Bethel",343.8477013367,97.0085633833333,338.097843608633,91.89815615,223.828595543,51.54762623,177.5871433722,43.8523106933333
"AK","Bristol Bay",82.7901875167,99.74721388,79.5182490282,95.80511931,42.2298345299,50.87931871,0.3478075474,0.41904524
"AK","Denali",137.0000000669,100.00000005,137.0000000669,100.00000005,137.0000000669,100.00000005,137.0000000669,100.00000005
"AK","Dillingham",147.81368042565,80.60715362,131.9937489282,71.828857245,62.0022333003,33.156320932632,43.70619067975,23.37229448
"AK","Fairbanks North Star",313.685119532411,93.1585575405263,241.332724358011,68.7321521873684,17.5806470744105,5.06750354315789,2.92182348562105,1.31164388894737
"AK","Haines",257.6275564255,74.67465404,187.588730622,54.37354511,58.3708249601,16.9190797,45.4671796845,13.17889266
"AK","Hoonah-Angoon",141.3942978283,99.05247365,134.26231076765,96.45902381,115.49999996265,89.63636534,109.3351044151,42.2140919
"AK","Juneau",299.206289718767,68.9557039466667,221.496902544583,50.7845819316667,2.37821641203333,0.512885563333333,0.318405723183333,0.06732784
"AK","Kenai Peninsula",441.206973307115,93.3667022107692,392.778434307692,86.0315094823077,86.1464681280846,33.53598194,12.5227598233538,14.3096177230769
"AK","Ketchikan Gateway",179.759839447725,58.94249666,119.2530358266,44.04770282,3.107470831875,0.885319325,1.68154321745,0.4790721425
"AK","Kodiak Island",107.57266483236,68.027764814,38.27044635706,23.895617058,15.8990941849,11.69051043,10.20869739226,7.506395142
"AK","Lake and Peninsula",126.9999992965,99.99999945,126.9999992965,99.99999945,126.9999992965,99.99999945,126.9999992965,99.99999945
"AK","Matanuska-Susitna",276.858272913513,95.41804625625,232.73543237225,83.4098138045833,29.3150731461625,13.8205861758333,5.13523156123333,3.47549286083333
"AK","Nome",170.79389041835,51.711476555,165.3359502112,49.871048265,149.9372460271,44.6962665,149.31332188825,44.46258705
"AK","North Slope",97.4385940842333,81.0653875966667,55.9789681761333,57.1033867766667,35.9808455872667,45.57719957,35.6831395864,45.00468803
"AK","Northwest Arctic",150.3273660861,63.07529481,123.27102511135,50.129677115,122.9999995708,49.999999825,122.9736120815,49.989273205
"AK","Petersburg",228.4929277267,52.1673351,110.9782949774,25.33751027,13.5906377551,3.10288533,5.1002465509,1.16443985
"AK","Prince of Wales-Hyder",82.182071820875,65.6834687075,54.011286578175,51.5038405075,39.20963769325,44.1691234725,36.037630505025,42.42410557
