"County","State","Average_Mort_Score","Average_Readm_Score","Death_Cat","Readm_Cat","Death_Readm_Cat"
"WAYNE","MI",13.2769230769231,17.4461538461538,"Better Than National","Worse Than National",NA
"WAYNE","MS",NA,NA,NA,NA,NA
"WAYNE","NC",15.5,16.9,"Worse Than National",NA,NA
"WAYNE","NE",NA,NA,NA,NA,NA
"WAYNE","NY",12.7,16.9,"Better Than National",NA,NA
"WAYNE","OH",13,16.7,"Better Than National",NA,NA
"WAYNE","PA",17.3,16.9,"Worse Than National",NA,NA
"WAYNE","TN",NA,NA,NA,NA,NA
"WAUSHARA","WI",NA,NA,NA,NA,NA
"WAUPACA","WI",NA,NA,NA,NA,NA
"WAUKESHA","WI",14.25,17.125,NA,NA,NA
"WATONWAN","MN",NA,NA,NA,NA,NA
"WATAUGA","NC",13.7,16.9,NA,NA,NA
"WASHTENAW","MI",12.2,16.35,"Better Than National",NA,NA
"WASHOE","NV",14.5666666666667,16.2666666666667,NA,"Better Than National",NA
"WASHITA","OK",NA,NA,NA,NA,NA
"WASHINGTON","AL",NA,NA,NA,NA,NA
"WASHINGTON","AR",14.3,18.25,NA,"Worse Than National",NA
"WASHINGTON","FL",NA,NA,NA,NA,NA
"WASHINGTON","GA",NA,NA,NA,NA,NA
"WASHINGTON","IA",NA,NA,NA,NA,NA
"WASHINGTON","ID",NA,NA,NA,NA,NA
"WASHINGTON","IL",NA,NA,NA,NA,NA
"WASHINGTON","IN",NA,NA,NA,NA,NA
"WASHINGTON","KS",NA,NA,NA,NA,NA
"WASHINGTON","LA",NA,NA,NA,NA,NA
"WASHINGTON","MD",NA,NA,NA,NA,NA
"WASHINGTON","ME",14.35,17.05,NA,NA,NA
"WASHINGTON","MN",13.9,NA,NA,NA,NA
"WASHINGTON","MO",NA,NA,NA,NA,NA
"WASHINGTON","MS",13.4,17.1,"Better Than National",NA,NA
"WASHINGTON","NC",NA,NA,NA,NA,NA
"WASHINGTON","NE",NA,NA,NA,NA,NA
"WASHINGTON","OH",12.9,15.8,"Better Than National","Better Than National","Better Than National"
"WASHINGTON","OK",14.3,16.6,NA,NA,NA
"WASHINGTON","OR",13.4666666666667,16.1,"Better Than National","Better Than National","Better Than National"
"WASHINGTON","PA",14.55,16.9,NA,NA,NA
"WASHINGTON","RI",13.95,16.85,NA,NA,NA
"WASHINGTON","TN",14.4,19.4,NA,"Worse Than National",NA
"WASHINGTON","TX",15.4,15.9,"Worse Than National","Better Than National",NA
"WASHINGTON","UT",14.3,14.9,NA,"Better Than National",NA
"WASHINGTON","VA",13.8,16.9,NA,NA,NA
"WASHINGTON","VT",14.4,15.7,NA,"Better Than National",NA
"WASHINGTON","WI",14.5,NA,NA,NA,NA
"WASHBURN","WI",NA,NA,NA,NA,NA
"WASHAKIE","WY",NA,NA,NA,NA,NA
"WASECA","MN",NA,NA,NA,NA,NA
"WASCO","OR",15.4,16.8,"Worse Than National",NA,NA
"WASATCH","UT",NA,NA,NA,NA,NA
"WARRICK","IN",12.8,17.4,"Better Than National","Worse Than National",NA
"WARREN","IL",NA,NA,NA,NA,NA
"WARREN","IN",NA,NA,NA,NA,NA
"WARREN","KY",13.5,18.95,"Better Than National","Worse Than National",NA
"WARREN","MS",15.5,18.3,"Worse Than National","Worse Than National","Worse Than National"
"WARREN","NJ",14,18,NA,"Worse Than National",NA
"WARREN","NY",14.5,15.4,NA,"Better Than National",NA
"WARREN","OH",15.8,15.9,"Worse Than National","Better Than National",NA
"WARREN","PA",15.1,16.3,"Worse Than National","Better Than National",NA
"WARREN","TN",13.1,NA,"Better Than National",NA,NA
"WARREN","VA",NA,NA,NA,NA,NA
"WARE","GA",13.8,17.5,NA,"Worse Than National",NA
"WARD","ND",13.5,16.7,"Better Than National",NA,NA
"WARD","TX",NA,NA,NA,NA,NA
"WAPELLO","IA",14.2,16.2,NA,"Better Than National",NA
"WALWORTH","SD",NA,NA,NA,NA,NA
"WALWORTH","WI",14.5,15.9,NA,"Better Than National",NA
"WALTON","FL",14.7,16.2,NA,"Better Than National",NA
"WALTON","GA",14.4,16.7,NA,NA,NA
"WALTHALL","MS",NA,NA,NA,NA,NA
"WALSH","ND",NA,NA,NA,NA,NA
"WALLOWA","OR",NA,NA,NA,NA,NA
"WALLA WALLA","WA",13.5,16.05,"Better Than National","Better Than National","Better Than National"
"WALKER","AL",12.7,17.8,"Better Than National","Worse Than National",NA
"WALKER","TX",15.6,16.2,"Worse Than National","Better Than National",NA
"WALDO","ME",13.6,17.5,NA,"Worse Than National",NA
"WAKE","NC",14.025,16.475,NA,NA,NA
"WAGONER","OK",NA,NA,NA,NA,NA
"WADENA","MN",NA,NA,NA,NA,NA
"WABASHA","MN",NA,NA,NA,NA,NA
"WABASH","IL",NA,NA,NA,NA,NA
"WABASH","IN",NA,NA,NA,NA,NA
"VOLUSIA","FL",14.44,17.06,NA,NA,NA
"VIRGINIA BEACH CITY","VA",12.8,16.95,"Better Than National",NA,NA
"VILAS","WI",NA,NA,NA,NA,NA
"VIGO","IN",12.65,17.5,"Better Than National","Worse Than National",NA
"VICTORIA","TX",13.8,15.9,NA,"Better Than National",NA
"VERNON","LA",NA,NA,NA,NA,NA
"VERNON","MO",NA,NA,NA,NA,NA
"VERNON","WI",NA,NA,NA,NA,NA
"VERMILLION","IN",14.4,NA,NA,NA,NA
"VERMILION","IL",14.2,16.6,NA,NA,NA
"VERMILION","LA",NA,NA,NA,NA,NA
"VENTURA","CA",13.4833333333333,16.58,"Better Than National",NA,NA
"VENANGO","PA",14.2,16.5,NA,NA,NA
"VEGA BAJA","PR",NA,NA,NA,NA,NA
"VANDERBURGH","IN",14.65,18.4,NA,"Worse Than National",NA
"VANCE","NC",15.5,16.4,"Worse Than National",NA,NA
"VAN WERT","OH",13.7,NA,NA,NA,NA
"VAN BUREN","AR",NA,NA,NA,NA,NA
"VAN BUREN","IA",NA,NA,NA,NA,NA
"VAN BUREN","MI",NA,NA,NA,NA,NA
"VALLEY","ID",NA,NA,NA,NA,NA
"VALLEY","MT",NA,NA,NA,NA,NA
"VALLEY","NE",NA,NA,NA,NA,NA
"VAL VERDE","TX",14.6,16.5,NA,NA,NA
"UVALDE","TX",14.6,NA,NA,NA,NA
"UTUADO","PR",NA,NA,NA,NA,NA
"UTAH","UT",12.9,16.5,"Better Than National",NA,NA
"UPTON","TX",NA,NA,NA,NA,NA
"UPSON","GA",16,NA,"Worse Than National",NA,NA
"UPSHUR","WV",NA,NA,NA,NA,NA
"UNION","AR",13.8,16.7,NA,NA,NA
"UNION","FL",NA,NA,NA,NA,NA
"UNION","GA",14.4,NA,NA,NA,NA
"UNION","IA",NA,NA,NA,NA,NA
"UNION","IL",NA,NA,NA,NA,NA
"UNION","KY",NA,NA,NA,NA,NA
"UNION","LA",NA,NA,NA,NA,NA
"UNION","MS",16.6,16.2,"Worse Than National","Better Than National",NA
"UNION","NC",13.8,17.7,NA,"Worse Than National",NA
"UNION","NJ",14.6333333333333,16.5666666666667,NA,NA,NA
"UNION","NM",NA,NA,NA,NA,NA
"UNION","OH",NA,NA,NA,NA,NA
"UNION","OR",NA,NA,NA,NA,NA
"UNION","PA",13.9,16.9,NA,NA,NA
"UNION","SC",NA,NA,NA,NA,NA
"UNION","SD",NA,NA,NA,NA,NA
"UNICOI","TN",NA,NA,NA,NA,NA
"UMATILLA","OR",NA,NA,NA,NA,NA
"ULSTER","NY",13,18.2,"Better Than National","Worse Than National",NA
"UINTAH","UT",NA,NA,NA,NA,NA
"UINTA","WY",NA,NA,NA,NA,NA
"TYLER","TX",NA,NA,NA,NA,NA
"TYLER","WV",NA,NA,NA,NA,NA
"TWIN FALLS","ID",15,16.6,"Worse Than National",NA,NA
"TUSCOLA","MI",NA,NA,NA,NA,NA
"TUSCARAWAS","OH",14.5,17,NA,NA,NA
"TUSCALOOSA","AL",16.2,18.7,"Worse Than National","Worse Than National","Worse Than National"
"TURNER","SD",NA,NA,NA,NA,NA
"TUOLUMNE","CA",14.9,17.8,"Worse Than National","Worse Than National","Worse Than National"
"TULSA","OK",13.74,16.88,NA,NA,NA
"TULARE","CA",14.2333333333333,16.9666666666667,NA,NA,NA
"TRUMBULL","OH",14.35,17.05,NA,NA,NA
"TROUSDALE","TN",NA,NA,NA,NA,NA
"TROUP","GA",14.2,17.7,NA,"Worse Than National",NA
"TRIPP","SD",NA,NA,NA,NA,NA
"TRINITY","CA",NA,NA,NA,NA,NA
"TRINITY","TX",NA,NA,NA,NA,NA
"TRIGG","KY",NA,NA,NA,NA,NA
"TREMPEALEAU","WI",NA,NA,NA,NA,NA
"TREGO","KS",NA,NA,NA,NA,NA
"TRAVIS","TX",14.36,16.86,NA,NA,NA
"TRAVERSE","MN",NA,NA,NA,NA,NA
"TRANSYLVANIA","NC",NA,NA,NA,NA,NA
"TRAILL","ND",NA,NA,NA,NA,NA
"TOWNS","GA",NA,NA,NA,NA,NA
"TOWNER","ND",NA,NA,NA,NA,NA
"TOOMBS","GA",13.6,17.7,NA,"Worse Than National",NA
"TOOLE","MT",NA,NA,NA,NA,NA
"TOOELE","UT",NA,NA,NA,NA,NA
"TOMPKINS","NY",15,16.4,"Worse Than National",NA,NA
"TOM GREEN","TX",14.15,15.75,NA,"Better Than National",NA
"TOLLAND","CT",13.5,NA,"Better Than National",NA,NA
"TODD","MN",NA,NA,NA,NA,NA
"TODD","SD",NA,NA,NA,NA,NA
"TITUS","TX",NA,NA,NA,NA,NA
"TISHOMINGO","MS",NA,NA,NA,NA,NA
"TIPTON","IN",NA,NA,NA,NA,NA
"TIPTON","TN",NA,NA,NA,NA,NA
"TIPPECANOE","IN",14.3,15.2,NA,"Better Than National",NA
"TIPPAH","MS",NA,NA,NA,NA,NA
"TIOGA","PA",13.4,17.2,"Better Than National",NA,NA
"TILLMAN","OK",NA,NA,NA,NA,NA
"TILLAMOOK","OR",NA,NA,NA,NA,NA
"TIFT","GA",15.2,17.4,"Worse Than National","Worse Than National","Worse Than National"
"THURSTON","NE",NA,NA,NA,NA,NA
"THURSTON","WA",13.9,16,NA,"Better Than National",NA
"THROCKMORTON","TX",NA,NA,NA,NA,NA
"THOMAS","GA",12.8,17.3,"Better Than National","Worse Than National",NA
"THOMAS","KS",NA,NA,NA,NA,NA
"THAYER","NE",NA,NA,NA,NA,NA
"TEXAS","MO",NA,NA,NA,NA,NA
"TEXAS","OK",NA,NA,NA,NA,NA
"TETON","ID",NA,NA,NA,NA,NA
"TETON","MT",NA,NA,NA,NA,NA
"TETON","WY",NA,NA,NA,NA,NA
"TERRY","TX",NA,NA,NA,NA,NA
"TERREBONNE","LA",14.05,16.2,NA,"Better Than National",NA
"TELLER","CO",NA,NA,NA,NA,NA
"TEHAMA","CA",NA,NA,NA,NA,NA
"TAZEWELL","IL",14.6,18.3,NA,"Worse Than National",NA
"TAZEWELL","VA",13.7,16.6,NA,NA,NA
"TAYLOR","FL",NA,NA,NA,NA,NA
"TAYLOR","KY",14.1,17.2,NA,NA,NA
"TAYLOR","TX",15,16.05,"Worse Than National","Better Than National",NA
"TAYLOR","WI",NA,NA,NA,NA,NA
"TAYLOR","WV",NA,NA,NA,NA,NA
"TATTNALL","GA",NA,NA,NA,NA,NA
"TATE","MS",NA,NA,NA,NA,NA
"TARRANT","TX",14.475,16.4666666666667,NA,NA,NA
"TAOS","NM",NA,NA,NA,NA,NA
"TANGIPAHOA","LA",13.4,17.3,"Better Than National","Worse Than National",NA
"TANEY","MO",12.9,16,"Better Than National","Better Than National","Better Than National"
"TALLAPOOSA","AL",14.7,16,NA,"Better Than National",NA
"TALLAHATCHIE","MS",NA,NA,NA,NA,NA
"TALLADEGA","AL",14.2,16.3,NA,"Better Than National",NA
"TALBOT","MD",NA,NA,NA,NA,NA
"SWISHER","TX",NA,NA,NA,NA,NA
"SWIFT","MN",NA,NA,NA,NA,NA
"SWEETWATER","WY",14.6,NA,NA,NA,NA
"SWEET GRASS","MT",NA,NA,NA,NA,NA
"SWAIN","NC",NA,NA,NA,NA,NA
"SUWANNEE","FL",14.2,16.2,NA,"Better Than National",NA
"SUTTON","TX",NA,NA,NA,NA,NA
"SUTTER","CA",NA,NA,NA,NA,NA
"SUSSEX","DE",13.2666666666667,16.7,"Better Than National",NA,NA
"SUSSEX","NJ",16.7,17.5,"Worse Than National","Worse Than National","Worse Than National"
"SUSQUEHANNA","PA",NA,NA,NA,NA,NA
"SURRY","NC",13.6,16.8,NA,NA,NA
"SUNFLOWER","MS",NA,NA,NA,NA,NA
"SUMTER","AL",NA,NA,NA,NA,NA
"SUMTER","FL",12.8,16.6,"Better Than National",NA,NA
"SUMTER","GA",16.2,NA,"Worse Than National",NA,NA
"SUMTER","SC",14.5,18.1,NA,"Worse Than National",NA
"SUMNER","KS",NA,NA,NA,NA,NA
"SUMNER","TN",14.85,17.5,"Worse Than National","Worse Than National","Worse Than National"
"SUMMIT","CO",NA,NA,NA,NA,NA
"SUMMIT","OH",14.35,17.3,NA,NA,NA
"SUMMIT","UT",NA,NA,NA,NA,NA
"SUMMERS","WV",NA,NA,NA,NA,NA
"SULLIVAN","IN",15.3,NA,"Worse Than National",NA,NA
"SULLIVAN","MO",NA,NA,NA,NA,NA
"SULLIVAN","NH",NA,NA,NA,NA,NA
"SULLIVAN","NY",13.3,18.9,"Better Than National","Worse Than National",NA
"SULLIVAN","TN",13.3666666666667,16.6,"Better Than National",NA,NA
"SUFFOLK CITY","VA",14.7,16.7,NA,NA,NA
"SUFFOLK","MA",13.3571428571429,18.0428571428571,"Better Than National","Worse Than National",NA
"SUFFOLK","NY",12.5909090909091,17.0888888888889,"Better Than National",NA,NA
"STUTSMAN","ND",NA,NA,NA,NA,NA
"STRAFFORD","NH",14.95,16.1,"Worse Than National","Better Than National",NA
"STORY","IA",14.2,15.8,NA,"Better Than National",NA
"STONEWALL","TX",NA,NA,NA,NA,NA
"STONE","AR",NA,NA,NA,NA,NA
"STONE","MS",NA,NA,NA,NA,NA
"STOKES","NC",NA,NA,NA,NA,NA
"STODDARD","MO",NA,NA,NA,NA,NA
"STILLWATER","MT",NA,NA,NA,NA,NA
"STEVENS","KS",NA,NA,NA,NA,NA
"STEVENS","MN",NA,NA,NA,NA,NA
"STEVENS","WA",14,NA,NA,NA,NA
"STEUBEN","IN",NA,NA,NA,NA,NA
"STEUBEN","NY",13.55,16.6,NA,NA,NA
"STEPHENSON","IL",15.9,16.5,"Worse Than National",NA,NA
"STEPHENS","GA",13.4,16.7,"Better Than National",NA,NA
"STEPHENS","OK",16.1,NA,"Worse Than National",NA,NA
"STEPHENS","TX",NA,NA,NA,NA,NA
"STEELE","MN",14.1,17.1,NA,NA,NA
"STEARNS","MN",12.7,19.4,"Better Than National","Worse Than National",NA
"STARR","TX",14.7,17.5,NA,"Worse Than National",NA
"STARKE","IN",NA,NA,NA,NA,NA
"STARK","ND",14.8,16.5,NA,NA,NA
"STARK","OH",13.3,16.3666666666667,"Better Than National",NA,NA
"STANTON","KS",NA,NA,NA,NA,NA
"STANLY","NC",14.5,18.8,NA,"Worse Than National",NA
"STANISLAUS","CA",13.5666666666667,17,NA,NA,NA
"STAFFORD","KS",NA,NA,NA,NA,NA
"STAFFORD","VA",12.8,16.6,"Better Than National",NA,NA
"ST JOSEPH","IN",16.45,16.4,"Worse Than National",NA,NA
"SPOTSYLVANIA","VA",15,17.7,"Worse Than National","Worse Than National","Worse Than National"
"SPOKANE","WA",13.95,15.8666666666667,NA,"Better Than National",NA
"SPINK","SD",NA,NA,NA,NA,NA
"SPARTANBURG","SC",15.05,16.55,"Worse Than National",NA,NA
"SPALDING","GA",16.9,16.4,"Worse Than National",NA,NA
"SONOMA","CA",13.6,15.7,NA,"Better Than National",NA
"SOMERVELL","TX",NA,NA,NA,NA,NA
"SOMERSET","MD",NA,NA,NA,NA,NA
"SOMERSET","ME",15,16.8,"Worse Than National",NA,NA
"SOMERSET","NJ",16.1,19.2,"Worse Than National","Worse Than National","Worse Than National"
"SOMERSET","PA",14.3,16.8,NA,NA,NA
"SOLANO","CA",14.1,17.15,NA,NA,NA
"SOCORRO","NM",NA,NA,NA,NA,NA
"SNOHOMISH","WA",14.75,16.75,NA,NA,NA
"SMYTH","VA",14.8,16.9,NA,NA,NA
"SMITH","KS",NA,NA,NA,NA,NA
"SMITH","MS",NA,NA,NA,NA,NA
"SMITH","TN",NA,NA,NA,NA,NA
"SMITH","TX",14.6,16.9666666666667,NA,NA,NA
"SKAGIT","WA",13.6,16.25,NA,"Better Than National",NA
"SITKA","AK",NA,NA,NA,NA,NA
"SISKIYOU","CA",NA,NA,NA,NA,NA
"SIOUX","IA",NA,NA,NA,NA,NA
"SIOUX","ND",NA,NA,NA,NA,NA
"SIMPSON","KY",NA,NA,NA,NA,NA
"SIMPSON","MS",NA,NA,NA,NA,NA
"SILVER BOW","MT",12.6,16.7,"Better Than National",NA,NA
"SIERRA","NM",NA,NA,NA,NA,NA
"SIBLEY","MN",NA,NA,NA,NA,NA
"SHOSHONE","ID",NA,NA,NA,NA,NA
"SHIAWASSEE","MI",15.7,NA,"Worse Than National",NA,NA
"SHERMAN","KS",NA,NA,NA,NA,NA
"SHERIDAN","KS",NA,NA,NA,NA,NA
"SHERIDAN","MT",NA,NA,NA,NA,NA
"SHERIDAN","NE",NA,NA,NA,NA,NA
"SHERIDAN","WY",15,16,"Worse Than National","Better Than National",NA
"SHERBURNE","MN",NA,NA,NA,NA,NA
"SHENANDOAH","VA",NA,NA,NA,NA,NA
"SHELBY","AL",14.7,17.7,NA,"Worse Than National",NA
"SHELBY","IA",NA,NA,NA,NA,NA
"SHELBY","IL",NA,NA,NA,NA,NA
"SHELBY","IN",14,NA,NA,NA,NA
"SHELBY","KY",15.6,NA,"Worse Than National",NA,NA
"SHELBY","OH",14.5,NA,NA,NA,NA
"SHELBY","TN",14.825,16.7,"Worse Than National",NA,NA
"SHEBOYGAN","WI",14.95,16,"Worse Than National","Better Than National",NA
"SHAWNEE","KS",14.1,16.75,NA,NA,NA
"SHAWANO","WI",NA,NA,NA,NA,NA
"SHASTA","CA",15.45,16.6,"Worse Than National",NA,NA
"SHARKEY","MS",NA,NA,NA,NA,NA
"SEWARD","KS",NA,NA,NA,NA,NA
"SEWARD","NE",NA,NA,NA,NA,NA
"SEVIER","AR",NA,NA,NA,NA,NA
"SEVIER","UT",NA,NA,NA,NA,NA
"SEQUOYAH","OK",NA,NA,NA,NA,NA
"SENECA","OH",NA,NA,NA,NA,NA
"SEMINOLE","FL",11.9,18.1,"Better Than National","Worse Than National",NA
"SEMINOLE","GA",NA,NA,NA,NA,NA
"SEMINOLE","OK",NA,NA,NA,NA,NA
"SEDGWICK","CO",NA,NA,NA,NA,NA
"SEDGWICK","KS",13.4666666666667,15.4666666666667,"Better Than National","Better Than National","Better Than National"
"SEBASTIAN","AR",14.55,18.35,NA,"Worse Than National",NA
"SCURRY","TX",NA,NA,NA,NA,NA
"SCREVEN","GA",NA,NA,NA,NA,NA
"SCOTTS BLUFF","NE",16.5,17.7,"Worse Than National","Worse Than National","Worse Than National"
"SCOTT","AR",NA,NA,NA,NA,NA
"SCOTT","IA",13.75,16.15,NA,"Better Than National",NA
"SCOTT","IN",NA,NA,NA,NA,NA
"SCOTT","KS",NA,NA,NA,NA,NA
"SCOTT","KY",NA,NA,NA,NA,NA
"SCOTT","MN",NA,NA,NA,NA,NA
"SCOTT","MS",NA,NA,NA,NA,NA
"SCOTT","TN",NA,NA,NA,NA,NA
"SCOTLAND","MO",NA,NA,NA,NA,NA
"SCOTLAND","NC",12.1,18.1,"Better Than National","Worse Than National",NA
"SCIOTO","OH",13.4,18.6,"Better Than National","Worse Than National",NA
"SCHUYLKILL","PA",14.5333333333333,17.05,NA,NA,NA
"SCHUYLER","IL",NA,NA,NA,NA,NA
"SCHUYLER","NY",NA,NA,NA,NA,NA
"SCHOOLCRAFT","MI",NA,NA,NA,NA,NA
"SCHOHARIE","NY",NA,NA,NA,NA,NA
"SCHLEICHER","TX",NA,NA,NA,NA,NA
"SCHENECTADY","NY",15.1,14.4,"Worse Than National","Better Than National",NA
"SAWYER","WI",NA,NA,NA,NA,NA
"SAUNDERS","NE",NA,NA,NA,NA,NA
"SAUK","WI",NA,NA,NA,NA,NA
"SARPY","NE",14.35,16.85,NA,NA,NA
"SARATOGA","NY",13.8,16.3,NA,"Better Than National",NA
"SARASOTA","FL",13.225,15.625,"Better Than National","Better Than National","Better Than National"
"SANTA ROSA","FL",12.95,NA,"Better Than National",NA,NA
"SANTA FE","NM",14.1,16,NA,"Better Than National",NA
"SANTA CRUZ","AZ",NA,NA,NA,NA,NA
"SANTA CRUZ","CA",14,14.8,NA,"Better Than National",NA
"SANTA CLARA","CA",14.4125,17.3222222222222,NA,"Worse Than National",NA
"SANTA BARBARA","CA",12.85,16.9,"Better Than National",NA,NA
"SANPETE","UT",NA,NA,NA,NA,NA
"SANILAC","MI",NA,NA,NA,NA,NA
"SANGAMON","IL",13.85,16.25,NA,"Better Than National",NA
"SANDUSKY","OH",14.4,16.5,NA,NA,NA
"SANDOVAL","NM",NA,NA,NA,NA,NA
"SANDERS","MT",NA,NA,NA,NA,NA
"SAN PATRICIO","TX",NA,NA,NA,NA,NA
"SAN MIGUEL","NM",NA,NA,NA,NA,NA
"SAN MATEO","CA",13.4666666666667,16.1333333333333,"Better Than National","Better Than National","Better Than National"
