"County","State","Count_Hospitals","Count_Total_Hospitals","percent_good"
"CHAMPAIGN","IL",1,2,50
"CHARLOTTESVILLE CITY","VA",1,1,100
"CHATTOOGA","GA",1,1,100
"CHAVES","NM",1,2,50
"CLARK","KY",1,1,100
"CLARK","NV",1,17,5.88235294117647
"CLARKE","GA",1,2,50
"CLEARFIELD","PA",1,2,50
"COBB","GA",1,2,50
"COLLIER","FL",1,2,50
"COLUMBIA","FL",1,2,50
"COLUMBIANA","OH",1,2,50
"COMANCHE","OK",1,3,33.3333333333333
"COWLITZ","WA",1,1,100
"CRAWFORD","MI",1,1,100
"CROW WING","MN",1,2,50
"CUMBERLAND","ME",1,4,25
"CUMBERLAND","NC",1,1,100
"DAUPHIN","PA",1,2,50
"DAVIS","UT",1,2,50
"DEKALB","GA",1,4,25
"DEL NORTE","CA",1,1,100
"DENTON","TX",1,9,11.1111111111111
"DENVER","CO",1,6,16.6666666666667
"DONA ANA","NM",1,2,50
"DOUGLAS","CO",1,3,33.3333333333333
"DUBOIS","IN",1,1,100
"DUBUQUE","IA",1,3,33.3333333333333
"DURHAM","NC",1,3,33.3333333333333
"DUTCHESS","NY",1,2,50
"EAST BATON ROUGE","LA",1,7,14.2857142857143
"ECTOR","TX",1,3,33.3333333333333
"EL DORADO","CA",1,2,50
"ELLIS","KS",1,1,100
"ELLIS","TX",1,2,50
"EMPORIA CITY","VA",1,1,100
"ERATH","TX",1,1,100
"ESSEX","VA",1,1,100
"FAIRBANKS NORTH STAR","AK",1,1,100
"FAIRFAX","VA",1,4,25
"FAULKNER","AR",1,1,100
"FAYETTE","GA",1,1,100
"FINNEY","KS",1,1,100
"FLORENCE","SC",1,3,33.3333333333333
"FLOYD","IN",1,2,50
"FORREST","MS",1,2,50
"FORSYTH","NC",1,3,33.3333333333333
"FORT BEND","TX",1,6,16.6666666666667
"FRANKLIN","PA",1,2,50
"FRESNO","CA",1,9,11.1111111111111
"GARFIELD","CO",1,2,50
"GASTON","NC",1,1,100
"GEAUGA","OH",1,1,100
"GENESEE","MI",1,3,33.3333333333333
"GEORGETOWN","SC",1,2,50
"GILA","AZ",1,3,33.3333333333333
"GRAFTON","NH",1,5,20
"GRAND TRAVERSE","MI",1,1,100
"GRANT","IN",1,1,100
"GRAYSON","TX",1,3,33.3333333333333
"GREEN","WI",1,1,100
"GREENE","MO",1,3,33.3333333333333
"GREENE","OH",1,2,50
"GREGG","TX",1,3,33.3333333333333
"GUILFORD","NC",1,2,50
"HALIFAX","NC",1,2,50
"HALL","GA",1,1,100
"HALL","NE",1,1,100
"HAMILTON","IN",1,6,16.6666666666667
"HAMILTON","TN",1,3,33.3333333333333
"HAMPSHIRE","MA",1,2,50
"HANCOCK","ME",1,3,33.3333333333333
"HENDERSON","NC",1,2,50
"HENDERSON","TX",1,1,100
"HENRICO","VA",1,2,50
"HENRY","MO",1,1,100
"HERNANDO","FL",1,2,50
"HIDALGO","TX",1,6,16.6666666666667
"HIGHLANDS","FL",1,2,50
"HOUSTON","AL",1,2,50
"HOUSTON","GA",1,2,50
"JACKSON","OR",1,3,33.3333333333333
"JAMES CITY","VA",1,2,50
"JEFFERSON","IN",1,1,100
"JEFFERSON","LA",1,5,20
"JIM WELLS","TX",1,1,100
"JOHNSON","IA",1,2,50
"JOHNSON","KS",1,10,10
"JOHNSON","TX",1,3,33.3333333333333
"JOHNSTON","NC",1,1,100
"KENT","RI",1,1,100
"KENTON","KY",1,1,100
"KERSHAW","SC",1,1,100
"KING","WA",1,17,5.88235294117647
"KNOX","IN",1,1,100
"KNOX","ME",1,1,100
"KNOX","TN",1,5,20
"KOOTENAI","ID",1,2,50
"LA PAZ","AZ",1,2,50
"LA PLATA","CO",1,2,50
"LAFAYETTE","MS",1,1,100
"LAKE","IL",1,6,16.6666666666667
"LAKE","IN",1,9,11.1111111111111
"LAKE","OH",1,1,100
"LAPEER","MI",1,1,100
"LARIMER","CO",1,5,20
"LAUDERDALE","MS",1,4,25
"LAUREL","KY",1,1,100
"LAURENS","GA",1,1,100
"LAWRENCE","PA",1,2,50
"LEE","MS",1,1,100
"LINCOLN","NE",1,1,100
"LITCHFIELD","CT",1,2,50
"LOGAN","KY",1,1,100
"LOGAN","OH",1,1,100
"LORAIN","OH",1,3,33.3333333333333
"LUZERNE","PA",1,3,33.3333333333333
"MACOMB","MI",1,4,25
"MADISON","AL",1,2,50
"MADISON","IN",1,3,33.3333333333333
"MANATI","PR",1,2,50
"MARATHON","WI",1,2,50
"MARIN","CA",1,3,33.3333333333333
"MARION","FL",1,2,50
"MARION","MO",1,1,100
"MARION","OH",1,1,100
"MARTIN","FL",1,1,100
"MAUI","HI",1,4,25
"MCHENRY","IL",1,3,33.3333333333333
"MCLENNAN","TX",1,2,50
"MERCER","NJ",1,4,25
"MERCER","PA",1,4,25
"MIDDLESEX","CT",1,1,100
"MIDLAND","MI",1,1,100
"MONONGALIA","WV",1,2,50
"MONROE","IN",1,2,50
"MONROE","MI",1,1,100
"MONROE","PA",1,1,100
"MONROE","WI",1,2,50
"MONTEREY","CA",1,4,25
"MONTGOMERY","AL",1,3,33.3333333333333
"MONTGOMERY","PA",1,10,10
"MONTGOMERY","TX",1,6,16.6666666666667
"MONTROSE","CO",1,1,100
"MOORE","NC",1,1,100
"MULTNOMAH","OR",1,7,14.2857142857143
"MUSKINGUM","OH",1,1,100
"MUSKOGEE","OK",1,1,100
"NATRONA","WY",1,3,33.3333333333333
"NEW LONDON","CT",1,2,50
"NEWPORT","RI",1,1,100
"OCEAN","NJ",1,4,25
"OKEECHOBEE","FL",1,1,100
"OLMSTED","MN",1,2,50
"ONEIDA","WI",1,2,50
"ONONDAGA","NY",1,3,33.3333333333333
"ONSLOW","NC",1,1,100
"ORANGE","NC",1,1,100
"ORANGEBURG","SC",1,1,100
"OSCEOLA","FL",1,3,33.3333333333333
"OTSEGO","NY",1,2,50
"OTTAWA","MI",1,3,33.3333333333333
"OUACHITA","LA",1,6,16.6666666666667
"OZAUKEE","WI",1,3,33.3333333333333
"PASCO","FL",1,6,16.6666666666667
"PAYNE","OK",1,2,50
"PENNINGTON","SD",1,4,25
"PICKAWAY","OH",1,1,100
"PITT","NC",1,1,100
"POLK","FL",1,5,20
"POTTER","TX",1,3,33.3333333333333
"PULASKI","VA",1,1,100
"PUTNAM","NY",1,1,100
"PUTNAM","TN",1,1,100
"QUEENS","NY",1,8,12.5
"RICHMOND","NY",1,2,50
"RILEY","KS",1,2,50
"ROANOKE CITY","VA",1,1,100
"ROBESON","NC",1,1,100
"ROCK ISLAND","IL",1,2,50
"ROCKINGHAM","NH",1,3,33.3333333333333
"ROCKLAND","NY",1,3,33.3333333333333
"SAGINAW","MI",1,3,33.3333333333333
"SAINT CHARLES","MO",1,4,25
"SAINT JOHNS","FL",1,1,100
"SAINT LOUIS","MO",1,10,10
"SAINT LOUIS CITY","MO",1,5,20
"SAINT LUCIE","FL",1,2,50
"SALEM","NJ",1,2,50
"SALT LAKE","UT",1,12,8.33333333333333
"SAN BENITO","CA",1,1,100
"SAN MATEO","CA",1,7,14.2857142857143
"SARPY","NE",1,2,50
"SCOTLAND","NC",1,1,100
"SCOTT","IA",1,2,50
"SEDGWICK","KS",1,6,16.6666666666667
"SEMINOLE","FL",1,1,100
"SHASTA","CA",1,4,25
"SHAWNEE","KS",1,2,50
"SILVER BOW","MT",1,1,100
"SKAGIT","WA",1,3,33.3333333333333
"SONOMA","CA",1,7,14.2857142857143
"SPOKANE","WA",1,5,20
"STAFFORD","VA",1,1,100
"STANISLAUS","CA",1,5,20
"STEARNS","MN",1,4,25
"STEUBEN","NY",1,3,33.3333333333333
"SULLIVAN","NY",1,2,50
"SULLIVAN","TN",1,3,33.3333333333333
"SUMTER","FL",1,1,100
"TANEY","MO",1,1,100
"THOMAS","GA",1,1,100
"TOLLAND","CT",1,2,50
"TOM GREEN","TX",1,2,50
"TRAVIS","TX",1,12,8.33333333333333
"TRUMBULL","OH",1,2,50
"TULARE","CA",1,4,25
"ULSTER","NY",1,3,33.3333333333333
"VICTORIA","TX",1,2,50
"VIGO","IN",1,2,50
"WAKE","NC",1,4,25
"WALKER","AL",1,1,100
"WALLA WALLA","WA",1,2,50
"WARREN","KY",1,2,50
"WARREN","TN",1,1,100
"WARRICK","IN",1,3,33.3333333333333
"WASHINGTON","AR",1,3,33.3333333333333
"WASHINGTON","OH",1,2,50
"WASHINGTON","OR",1,4,25
"WASHINGTON","PA",1,4,25
"WASHINGTON","RI",1,2,50
"WASHOE","NV",1,4,25
"WAUKESHA","WI",1,4,25
"WAYNE","IN",1,1,100
"WAYNE","NY",1,1,100
"WAYNE","OH",1,2,50
"WELD","CO",1,1,100
"WEXFORD","MI",1,1,100
"WILSON","NC",1,1,100
"WINNESHIEK","IA",1,1,100
"WISE","VA",1,1,100
"WOOD","WV",1,1,100
"WOODBURY","IA",1,2,50
"WYANDOTTE","KS",1,2,50
"YAKIMA","WA",1,4,25
"YELLOWSTONE","MT",1,2,50
"YUMA","AZ",1,1,100
