"State","County","Smokers","Obesity","Physically_Inactive","Excessive_Drinking","Chlamydia","Primary_Care_Physicians","Medicare_Enrollees"
"MS","Neshoba",22,37,35,13,0.574,16,4113
"MS","Newton",19,31,36,13,0.75,10,2533
"MS","Noxubee",24,42,40,10,0.891,1,1492
"MS","Oktibbeha",21,33,27,16,0.701,21,4091
"MS","Panola",21,35,39,13,0.809,9,4048
"MS","Pearl River",19,32,31,15,0.21,17,6860
"MS","Perry",20,37,37,14,0.339,NA,1597
"MS","Pike",21,38,33,12,0.536,17,5201
"MS","Pontotoc",18,33,36,16,0.232,7,3285
"MS","Prentiss",20,31,38,14,0.244,13,4423
"MS","Quitman",27,42,35,10,0.898,1,1044
"MS","Rankin",18,31,29,16,0.24,98,14797
"MS","Scott",21,34,34,13,0.8,4,3296
"MS","Sharkey",24,41,38,10,1.063,2,660
"MS","Simpson",20,40,39,13,0.354,12,3201
"MS","Smith",18,36,37,14,0.355,3,1641
"MS","Stone",19,32,31,16,0.449,5,2194
"MS","Sunflower",23,42,36,12,0.985,8,2632
"MS","Tallahatchie",21,40,35,14,1.059,1,1565
"MS","Tate",21,35,37,14,0.593,7,3273
"MS","Tippah",21,34,37,14,0.291,8,3494
"MS","Tishomingo",19,36,34,14,0.296,8,3425
"MS","Tunica",24,42,39,11,1.432,2,881
"MS","Union",20,34,34,14,0.274,16,3650
"MS","Walthall",20,38,36,12,0.318,8,2027
"MS","Warren",20,36,37,13,0.58,33,5664
"MS","Washington",24,41,39,11,1.198,22,5703
"MS","Wayne",21,38,37,13,0.469,7,2117
"MS","Webster",20,36,34,14,0.279,5,1435
"MS","Wilkinson",22,41,39,12,0.53,2,1231
"MS","Winston",22,36,41,12,0.462,6,2580
"MS","Yalobusha",20,38,36,13,0.693,3,2474
"MS","Yazoo",23,40,36,13,0.653,5,3018
"MO","Adair",24,30,28,17,0.383,34,3296
"MO","Andrew",18,28,32,16,0.167,2,2011
"MO","Atchison",18,31,34,16,0.073,1,1161
"MO","Audrain",21,35,27,15,0.515,17,3410
"MO","Barry",21,32,31,14,0.166,20,3652
"MO","Barton",23,32,31,14,0.227,5,1458
"MO","Bates",21,35,32,15,0.156,5,2151
"MO","Benton",20,32,32,13,0.137,7,3959
"MO","Bollinger",22,36,34,16,0.113,1,2119
"MO","Boone",20,27,20,19,0.612,179,14504
"MO","Buchanan",22,35,28,15,0.49,62,11895
"MO","Butler",23,37,29,15,0.497,47,5941
"MO","Caldwell",20,39,32,15,0.23,2,1151
"MO","Callaway",19,34,31,17,0.361,17,4957
"MO","Camden",20,28,24,14,0.208,40,8295
"MO","Cape Girardeau",20,33,30,16,0.482,76,10063
"MO","Carroll",20,34,30,15,0.143,3,1485
"MO","Carter",24,33,31,14,0.192,2,1011
"MO","Cass",18,31,28,17,0.293,25,8803
"MO","Cedar",22,34,32,13,0.167,4,2073
"MO","Chariton",20,32,31,14,0.183,NA,1932
"MO","Christian",20,30,24,17,0.248,33,6085
"MO","Clark",20,33,31,15,0.201,3,1068
"MO","Clay",19,29,24,18,0.331,152,22594
"MO","Clinton",19,35,27,16,0.268,12,3618
"MO","Cole",20,30,23,17,0.555,65,9159
"MO","Cooper",22,35,26,16,0.354,7,2224
"MO","Crawford",24,33,28,14,0.217,2,2893
"MO","Dade",22,37,33,14,0.238,4,1211
"MO","Dallas",23,33,29,14,0.196,3,1692
"MO","Daviess",22,36,30,15,0.134,1,1253
"MO","DeKalb",20,39,33,17,0.085,3,637
"MO","Dent",22,35,34,14,0.096,3,2538
"MO","Douglas",23,32,33,14,0.103,NA,1278
"MO","Dunklin",24,33,33,13,0.342,17,4494
"MO","Franklin",21,33,32,19,0.285,70,9581
"MO","Gasconade",19,33,33,15,0.187,6,2516
"MO","Gentry",20,32,29,15,0.148,3,1272
"MO","Greene",20,29,22,16,0.453,295,23459
"MO","Grundy",21,34,31,14,0.251,2,1947
"MO","Harrison",20,33,30,14,0.206,2,1599
"MO","Henry",21,32,30,14,0.248,15,3678
"MO","Hickory",21,31,31,12,0.106,1,1708
"MO","Holt",19,31,30,15,0.086,2,870
"MO","Howard",21,34,28,16,0.393,4,1310
"MO","Howell",21,32,30,14,0.3,34,6053
"MO","Iron",24,34,32,14,0.087,NA,1804
"MO","Jackson",21,30,24,16,0.75,518,53956
"MO","Jasper",24,33,27,16,0.414,36,10494
"MO","Jefferson",21,31,31,18,0.216,51,14906
"MO","Johnson",21,29,26,18,0.649,20,4670
"MO","Knox",22,32,25,14,NA,3,743
"MO","Laclede",23,32,32,14,0.217,23,3227
"MO","Lafayette",19,31,32,16,0.221,11,4294
"MO","Lawrence",21,30,25,15,0.205,23,3681
"MO","Lewis",21,36,35,16,0.265,3,1611
"MO","Lincoln",21,33,30,17,0.251,6,4210
"MO","Linn",21,30,30,14,0.16,7,1870
"MO","Livingston",20,28,29,15,0.406,10,2500
"MO","McDonald",24,29,34,15,0.293,3,1969
"MO","Macon",20,31,32,15,0.193,6,2855
"MO","Madison",22,36,33,14,0.185,5,1957
"MO","Maries",20,33,31,15,0.122,1,1214
"MO","Marion",22,36,30,15,0.417,25,4402
"MO","Mercer",20,36,27,14,NA,1,665
"MO","Miller",23,35,29,15,0.286,7,2883
"MO","Mississippi",27,33,36,13,0.363,4,2041
"MO","Moniteau",20,30,26,17,0.237,3,1841
"MO","Monroe",20,31,30,15,0.264,3,1711
"MO","Montgomery",21,33,30,15,0.125,3,1758
"MO","Morgan",22,27,27,13,0.174,4,4016
"MO","New Madrid",24,34,38,14,0.4,2,2306
"MO","Newton",21,32,28,15,0.288,73,9426
"MO","Nodaway",22,28,30,17,0.41,15,2900
"MO","Oregon",24,34,30,13,0.136,1,1471
"MO","Osage",18,33,26,18,0.108,1,1600
"MO","Ozark",22,33,34,13,0.062,2,1511
"MO","Pemiscot",26,34,30,13,0.668,4,1982
"MO","Perry",19,32,26,16,0.237,7,3106
"MO","Pettis",23,35,31,15,0.48,21,5317
"MO","Phelps",21,30,31,17,0.265,50,5700
"MO","Pike",22,31,30,16,0.329,5,2746
"MO","Platte",18,31,22,18,0.29,80,8608
"MO","Polk",21,32,29,15,0.251,21,2840
"MO","Pulaski",21,33,29,20,0.605,14,4051
"MO","Putnam",20,32,35,15,0.183,1,972
"MO","Ralls",19,35,29,16,0.253,2,1095
"MO","Randolph",23,33,27,16,0.383,14,3371
"MO","Ray",19,35,33,16,0.221,8,3040
"MO","Reynolds",22,33,35,13,0.135,2,1094
"MO","Ripley",24,34,31,14,0.135,4,2144
"MO","St. Charles",16,28,21,18,0.263,176,29882
"MO","St. Clair",20,31,34,13,0.211,5,1597
"MO","Ste. Genevieve",20,29,29,16,0.203,7,2159
"MO","St. Francois",23,34,32,16,0.319,52,8627
"MO","St. Louis",17,28,23,15,0.521,1201,104306
"MO","Saline",23,38,29,15,0.244,13,3017
"MO","Schuyler",22,32,30,14,0.275,3,667
"MO","Scotland",21,35,31,15,0.082,6,711
"MO","Scott",23,36,34,15,0.399,21,6000
"MO","Shannon",23,33,29,14,0.06,NA,1107
"MO","Shelby",21,33,28,14,0.096,NA,1111
"MO","Stoddard",20,34,32,15,0.252,15,4051
"MO","Stone",20,32,28,14,0.124,12,5511
"MO","Sullivan",22,34,32,15,0.153,2,928
"MO","Taney",23,31,31,15,0.268,48,6671
"MO","Texas",24,31,34,14,0.105,12,3781
"MO","Vernon",22,31,27,15,0.328,7,2769
"MO","Warren",19,29,31,17,0.253,3,2966
"MO","Washington",25,37,33,15,0.211,7,2685
"MO","Wayne",24,35,35,14,0.134,5,2570
"MO","Webster",21,33,27,15,0.179,6,1923
"MO","Worth",19,31,30,14,0.241,1,427
"MO","Wright",25,36,31,13,0.15,6,2325
"MO","St. Louis City",26,32,25,17,1.297,266,19464
"MT","Beaverhead",17,27,23,20,0.471,13,1600
"MT","Big Horn",28,37,29,18,1.279,11,1243
"MT","Blaine",27,34,30,17,0.703,4,774
"MT","Broadwater",16,34,27,20,0.122,2,815
"MT","Carbon",17,24,23,19,0.128,8,1578
"MT","Carter",16,26,26,18,NA,0,NA
"MT","Cascade",18,29,26,22,0.536,62,10056
"MT","Chouteau",21,26,28,18,NA,1,824
"MT","Custer",17,30,28,21,0.421,10,1780
"MT","Daniels",14,26,25,19,NA,2,NA
"MT","Dawson",17,28,27,20,0.303,6,1384
"MT","Deer Lodge",20,27,24,20,0.314,10,1634
"MT","Fallon",15,27,32,22,0.198,2,441
"MT","Fergus",15,26,23,19,0.096,13,2011
"MT","Flathead",17,22,18,21,0.28,68,10630
"MT","Gallatin",15,16,15,25,0.353,77,8189
"MT","Garfield",15,26,29,20,NA,0,NA
"MT","Glacier",31,34,30,18,1.196,13,1326
"MT","Golden Valley",18,27,28,17,NA,1,NA
"MT","Granite",15,26,27,17,0.161,1,533
"MT","Hill",23,34,29,20,0.868,11,1939
"MT","Jefferson",16,24,22,20,0.114,11,1611
"MT","Judith Basin",16,26,26,19,NA,NA,319
"MT","Lake",20,27,24,17,0.49,21,5410
"MT","Lewis and Clark",16,24,18,20,0.254,59,8062
"MT","Liberty",17,26,28,20,NA,1,383
"MT","Lincoln",17,27,24,16,0.19,14,3441
"MT","McCone",16,24,32,19,NA,0,400
"MT","Madison",16,21,26,19,0.181,4,1541
"MT","Meagher",19,24,27,16,NA,1,428
"MT","Mineral",17,26,24,17,0.168,1,708
"MT","Missoula",17,21,17,24,0.349,107,12628
"MT","Musselshell",18,27,32,18,0.15,NA,779
"MT","Park",15,23,19,20,0.122,18,2385
"MT","Petroleum",18,25,25,18,NA,0,NA
"MT","Phillips",18,26,32,19,0.145,1,802
"MT","Pondera",20,30,27,20,NA,3,876
"MT","Powder River",17,27,33,18,0.284,0,NA
"MT","Powell",18,28,26,22,0.169,7,1015
"MT","Prairie",16,27,28,16,NA,1,271
"MT","Ravalli",17,21,19,17,0.143,25,7168
"MT","Richland",18,29,27,21,0.592,6,1490
"MT","Roosevelt",29,35,31,20,1.583,2,1203
"MT","Rosebud",23,34,25,19,1.49,4,1069
"MT","Sanders",20,28,25,16,0.123,9,2344
"MT","Sheridan",16,30,32,21,0.14,1,776
"MT","Silver Bow",21,25,23,22,0.308,25,4698
"MT","Stillwater",16,22,27,20,0.065,1,1374
"MT","Sweet Grass",15,23,24,19,NA,1,672
"MT","Teton",19,26,26,18,0.132,1,834
"MT","Toole",20,27,27,21,0.134,3,634
"MT","Treasure",18,27,29,17,NA,1,NA
"MT","Valley",17,29,28,20,0.187,6,1311
"MT","Wheatland",17,26,30,17,NA,NA,375
"MT","Wibaux",17,28,30,18,0.378,0,197
"MT","Yellowstone",19,25,24,21,0.427,125,17914
"NE","Adams",17,30,25,21,0.296,25,4596
"NE","Antelope",15,27,28,19,NA,3,1477
"NE","Arthur",15,30,29,19,NA,0,NA
"NE","Banner",15,33,33,17,NA,0,NA
"NE","Blaine",16,28,27,19,NA,0,NA
"NE","Boone",14,28,29,21,NA,8,1110
"NE","Box Butte",18,32,28,19,0.168,6,1615
"NE","Boyd",15,33,30,17,NA,3,558
"NE","Brown",15,31,31,17,NA,1,681
"NE","Buffalo",15,30,24,23,0.432,45,5335
"NE","Burt",18,33,35,18,0.105,2,1398
"NE","Butler",16,28,24,22,0.108,6,1475
"NE","Cass",18,34,25,22,0.147,9,3285
"NE","Cedar",14,28,29,20,0.08,1,1249
"NE","Chase",14,27,27,19,0.098,2,795
"NE","Cherry",16,26,31,18,0.175,4,1059
"NE","Cheyenne",17,28,26,20,0.05,4,1516
"NE","Clay",15,32,28,20,0.078,1,1249
"NE","Colfax",15,31,27,19,0.178,2,1133
"NE","Cuming",14,29,25,21,0.088,3,1618
"NE","Custer",15,34,29,18,NA,10,2130
"NE","Dakota",18,34,29,19,0.311,1,1712
"NE","Dawes",17,28,28,22,0.535,7,1247
"NE","Dawson",17,33,25,19,0.252,14,2791
"NE","Deuel",16,27,27,18,NA,0,414
"NE","Dixon",15,31,32,20,0.203,2,789
"NE","Dodge",18,31,25,18,0.343,23,5972
"NE","Douglas",17,28,22,23,0.604,556,44834
"NE","Dundy",16,34,29,19,NA,1,386
"NE","Fillmore",15,31,29,20,0.295,5,1143
"NE","Franklin",16,36,32,18,NA,2,742
"NE","Frontier",16,35,28,20,NA,NA,468
"NE","Furnas",16,33,28,18,0.224,3,878
"NE","Gage",17,35,30,20,0.225,16,4039
"NE","Garden",15,31,30,18,NA,0,521
"NE","Garfield",15,28,28,18,NA,1,494
"NE","Gosper",16,34,26,21,NA,0,389
"NE","Grant",17,29,32,19,NA,0,NA
"NE","Greeley",15,33,35,19,NA,NA,523
"NE","Hall",17,33,28,18,0.375,37,7311
"NE","Hamilton",15,30,23,21,0.078,7,1430
"NE","Harlan",15,31,27,19,0.117,2,946
"NE","Hayes",15,30,32,19,NA,1,NA
"NE","Hitchcock",17,34,28,17,NA,NA,560
"NE","Holt",15,32,31,20,0.077,11,2043
"NE","Hooker",15,27,27,16,NA,2,NA
"NE","Howard",16,31,32,20,0.063,4,1163
"NE","Jefferson",16,35,32,19,NA,5,1496
"NE","Johnson",19,30,29,22,0.117,2,851
"NE","Kearney",16,32,26,20,0.108,2,884
"NE","Keith",17,28,29,18,NA,5,1524
"NE","Keya Paha",15,28,35,17,NA,0,NA
"NE","Kimball",17,32,30,18,0.185,NA,786
"NE","Knox",16,30,32,20,0.128,5,1572
"NE","Lancaster",16,26,19,23,0.46,211,30832
"NE","Lincoln",20,33,25,19,0.396,22,5533
"NE","Logan",16,29,30,20,NA,0,156
"NE","Loup",17,30,33,18,NA,0,NA
"NE","McPherson",15,31,32,19,NA,0,NA
"NE","Madison",18,32,25,23,0.317,28,4572
"NE","Merrick",16,34,28,19,0.129,2,1266
"NE","Morrill",19,31,26,19,NA,1,876
"NE","Nance",16,31,23,19,NA,NA,662
"NE","Nemaha",16,35,26,21,0.252,5,1140
"NE","Nuckolls",14,31,31,19,NA,5,1070
"NE","Otoe",15,34,30,20,0.216,9,2363
"NE","Pawnee",15,32,31,17,0.145,3,653
"NE","Perkins",14,26,24,19,NA,2,530
"NE","Phelps",15,35,27,20,0.163,7,1430
"NE","Pierce",15,35,30,20,0.084,6,1141
"NE","Platte",16,30,25,22,0.242,18,5002
"NE","Polk",15,30,30,21,NA,2,882
"NE","Red Willow",17,30,24,21,0.219,6,1984
"NE","Richardson",17,36,33,17,0.133,2,1765
"NE","Rock",16,32,33,19,NA,1,329
"NE","Saline",17,33,31,20,0.144,8,2055
"NE","Sarpy",15,29,20,22,0.371,101,13943
"NE","Saunders",16,27,27,21,0.192,7,2925
"NE","Scotts Bluff",19,34,25,17,0.425,30,5486
"NE","Seward",14,29,23,22,0.071,11,2500
"NE","Sheridan",18,30,32,18,0.075,4,1023
"NE","Sherman",15,34,30,18,NA,NA,595
"NE","Sioux",16,31,31,19,NA,1,NA
"NE","Stanton",17,33,25,21,NA,NA,NA
"NE","Thayer",15,30,30,18,NA,3,1277
"NE","Thomas",15,31,31,20,NA,0,NA
"NE","Thurston",31,41,30,20,0.698,4,786
"NE","Valley",15,31,26,19,0.142,3,947
"NE","Washington",14,31,22,21,0.237,10,2539
"NE","Wayne",16,30,26,24,0.23,5,1027
"NE","Webster",15,32,33,18,NA,3,826
"NE","Wheeler",17,28,29,18,NA,0,NA
"NE","York",16,32,25,20,0.204,11,2490
"NV","Churchill",18,29,24,18,0.299,14,3635
"NV","Clark",18,26,22,17,0.464,1106,139718
"NV","Douglas",15,22,16,19,0.157,31,10419
"NV","Elko",18,32,21,23,0.289,21,4330
"NV","Esmeralda",22,27,24,15,NA,0,NA
"NV","Eureka",17,26,23,20,NA,NA,NA
"NV","Humboldt",17,25,21,22,0.287,10,1870
"NV","Lander",17,29,22,20,0.303,1,638
"NV","Lincoln",18,25,22,19,NA,2,1396
"NV","Lyon",17,30,28,18,0.283,8,7060
"NV","Mineral",19,26,27,16,0.623,4,903
"NV","Nye",18,29,29,16,0.116,18,5931
"NV","Pershing",20,32,23,21,0.104,NA,604
"NV","Storey",14,26,24,18,NA,NA,NA
"NV","Washoe",16,22,16,21,0.391,322,40665
"NV","White Pine",17,25,26,21,0.209,6,1383
"NV","Carson City",17,24,17,20,0.346,48,9420
"NH","Belknap",16,31,22,18,0.244,39,10473
"NH","Carroll",16,23,19,17,0.08,40,10251
"NH","Cheshire",17,25,20,20,0.243,58,11553
"NH","Coos",19,30,26,18,0.193,37,6471
"NH","Grafton",17,27,18,18,0.265,178,14053
"NH","Hillsborough",15,27,22,18,0.272,352,48344
"NH","Merrimack",16,29,20,20,0.243,171,21150
"NH","Rockingham",16,26,20,20,0.177,250,41371
"NH","Strafford",17,30,23,22,0.276,89,15294
"NH","Sullivan",18,28,23,18,0.293,30,6824
"NJ","Atlantic",19,27,26,18,0.463,209,34916
"NJ","Bergen",12,20,23,18,0.15,1153,117246
"NJ","Burlington",14,27,24,19,0.298,382,52095
"NJ","Camden",15,29,27,18,0.529,530,54021
"NJ","Cape May",17,27,23,18,0.264,53,18847
"NJ","Cumberland",19,34,28,16,0.655,72,17076
"NJ","Essex",17,27,27,16,0.663,660,66910
"NJ","Gloucester",15,29,25,20,0.259,168,28505
"NJ","Hudson",15,24,25,19,0.356,354,44176
"NJ","Hunterdon",12,21,18,19,0.11,146,16923
"NJ","Mercer",16,24,22,18,0.466,391,41091
"NJ","Middlesex",12,24,24,17,0.256,788,82234
"NJ","Monmouth",14,23,20,19,0.195,724,80769
"NJ","Morris",13,20,20,19,0.12,522,63974
"NJ","Ocean",17,27,27,16,0.134,278,101017
"NJ","Passaic",16,24,25,19,0.459,291,47268
"NJ","Salem",19,32,28,17,0.298,27,8973
"NJ","Somerset",11,21,20,17,0.173,357,35029
"NJ","Sussex",15,26,25,20,0.124,75,17990
"NJ","Union",15,25,25,17,0.335,378,54594
"NJ","Warren",15,27,24,18,0.176,65,15236
"NM","Bernalillo",17,20,17,16,0.684,691,38831
"NM","Catron",16,22,24,12,NA,2,871
"NM","Chaves",18,30,26,15,0.491,45,7928
"NM","Cibola",26,33,26,14,0.607,15,2810
"NM","Colfax",16,24,25,13,0.219,5,2266
"NM","Curry",20,30,28,16,0.573,24,4892
"NM","De Baca",17,24,29,13,0.208,1,395
"NM","Dona Ana",17,23,20,17,0.598,133,18848
"NM","Eddy",18,30,24,16,0.448,28,6783
"NM","Grant",15,21,22,14,0.436,22,4885
"NM","Guadalupe",16,27,23,15,0.565,3,569
"NM","Harding",15,23,30,12,NA,0,435
"NM","Hidalgo",17,26,27,14,0.25,NA,629
"NM","Lea",18,35,33,17,0.538,22,6402
"NM","Lincoln",18,22,25,15,0.31,11,3633
"NM","Los Alamos",11,20,15,18,0.083,31,2556
"NM","Luna",19,23,25,12,0.603,11,3593
"NM","McKinley",21,33,23,14,1.101,60,6231
"NM","Mora",20,24,26,11,0.51,NA,839
"NM","Otero",20,26,23,16,0.489,32,7370
"NM","Quay",18,32,28,12,0.433,4,1328
"NM","Rio Arriba",18,24,22,13,0.605,19,4467
"NM","Roosevelt",20,28,25,16,0.646,12,2009
"NM","Sandoval",15,24,19,16,0.435,83,9041
"NM","San Juan",21,30,24,13,0.677,75,13042
"NM","San Miguel",19,22,20,13,0.682,21,3375
"NM","Santa Fe",14,14,12,15,0.432,157,17539
"NM","Sierra",16,21,24,12,0.353,8,2470
"NM","Socorro",21,26,23,14,0.443,13,1892
"NM","Taos",17,17,16,13,0.461,32,4649
"NM","Torrance",20,26,25,14,0.337,1,1081
"NM","Union",17,28,27,16,0.248,3,727
"NM","Valencia",19,27,24,16,0.475,24,4326
"NY","Albany",14,27,22,19,0.468,300,22784
"NY","Allegany",16,30,22,19,0.236,21,4587
"NY","Bronx",19,29,29,14,1.144,737,62462
"NY","Broome",16,25,24,18,0.337,165,21621
"NY","Cattaraugus",17,28,28,18,0.301,38,6335
"NY","Cayuga",15,30,23,19,0.327,22,8779
"NY","Chautauqua",16,30,26,17,0.359,72,11388
"NY","Chemung",16,32,25,18,0.382,60,9319
"NY","Chenango",15,33,27,18,0.328,22,5447
"NY","Clinton",16,30,27,20,0.309,56,9447
"NY","Columbia",14,25,25,19,0.211,30,8018
"NY","Cortland",15,28,21,20,0.4,25,5074
"NY","Delaware",15,26,25,18,0.256,19,6243
"NY","Dutchess",13,25,21,19,0.277,226,34794
"NY","Erie",15,27,23,20,0.532,741,55704
"NY","Essex",14,29,27,19,0.177,16,5781
"NY","Franklin",18,30,26,20,0.197,36,6023
"NY","Fulton",17,29,25,18,0.288,30,5557
"NY","Genesee",15,30,26,19,0.322,23,3698
"NY","Greene",15,30,25,18,0.255,17,6110
"NY","Hamilton",13,28,25,17,NA,1,962
"NY","Herkimer",16,30,23,19,0.284,26,6173
"NY","Jefferson",16,27,27,21,0.576,52,10398
"NY","Kings",16,22,26,17,0.694,1576,160952
"NY","Lewis",15,27,22,19,0.217,16,3066
"NY","Livingston",15,30,24,19,0.188,29,3271
"NY","Madison",15,29,26,20,0.251,44,7944
"NY","Monroe",15,27,21,18,0.613,780,30840
"NY","Montgomery",16,25,21,17,0.254,32,4719
"NY","Nassau",12,23,26,18,0.245,1982,158564
"NY","New York",13,15,18,21,0.706,2239,144001
"NY","Niagara",16,30,22,19,0.387,93,15279
"NY","Oneida",16,30,28,18,0.37,171,25524
"NY","Onondaga",16,28,25,19,0.517,453,45316
"NY","Ontario",14,30,17,20,0.301,94,6479
"NY","Orange",15,26,24,19,0.293,280,36460
"NY","Orleans",16,31,24,19,0.303,4,2473
"NY","Oswego",16,29,27,18,0.306,45,10924
"NY","Otsego",16,26,21,19,0.344,69,8779
"NY","Putnam",13,27,22,20,0.108,50,11177
"NY","Queens",12,24,28,14,0.488,1504,151580
"NY","Rensselaer",15,24,23,21,0.371,82,13076
"NY","Richmond",15,26,31,17,0.306,453,35350
"NY","Rockland",14,21,24,17,0.235,304,36351
"NY","St. Lawrence",18,29,25,20,0.199,61,12672
"NY","Saratoga",14,26,23,21,0.208,172,20148
"NY","Schenectady",15,26,23,18,0.454,116,14256
"NY","Schoharie",15,27,26,19,0.234,8,3978
"NY","Schuyler",15,30,27,18,0.14,15,2232
"NY","Seneca",15,31,25,19,0.275,9,2640
"NY","Steuben",16,30,23,19,0.273,60,10811
"NY","Suffolk",14,23,22,19,0.225,1139,167741
"NY","Sullivan",16,31,23,17,0.316,33,9945
"NY","Tioga",14,32,27,19,0.232,15,5343
"NY","Tompkins",15,24,25,20,0.267,88,9533
"NY","Ulster",14,28,19,18,0.248,116,23131
"NY","Warren",14,26,21,19,0.302,74,7379
"NY","Washington",15,30,24,19,0.203,23,5318
"NY","Wayne",15,29,26,19,0.266,27,5312
"NY","Westchester",11,20,20,18,0.331,1359,108763
"NY","Wyoming",15,26,24,20,0.196,18,2507
"NY","Yates",16,25,24,18,0.233,11,1915
"NC","Alamance",19,34,26,14,0.333,84,12496
"NC","Alexander",19,33,26,15,0.198,8,3977
"NC","Alleghany",19,26,33,14,0.21,12,1937
"NC","Anson",24,35,30,13,0.509,9,3422
"NC","Ashe",18,26,27,14,0.041,13,4599
"NC","Avery",19,26,24,15,0.068,12,3217
"NC","Beaufort",18,33,29,13,0.549,24,8043
"NC","Bertie",23,36,33,12,0.533,5,3384
"NC","Bladen",23,35,33,12,0.604,9,4326
"NC","Brunswick",17,29,21,15,0.224,52,23899
"NC","Buncombe",19,23,21,16,0.367,332,32545
"NC","Burke",19,32,30,14,0.25,53,11112
"NC","Cabarrus",18,28,24,15,0.361,178,17866
"NC","Caldwell",21,31,28,14,0.216,39,9565
"NC","Camden",16,32,24,16,0.387,1,1262
"NC","Carteret",17,26,26,16,0.269,52,13421
"NC","Caswell",19,36,32,13,0.28,3,1998
"NC","Catawba",19,31,30,15,0.351,111,19484
"NC","Chatham",16,27,23,14,0.256,62,5769
"NC","Cherokee",19,29,30,13,0.107,11,4867
"NC","Chowan",20,32,28,12,0.406,13,2846
"NC","Clay",18,29,32,13,0.113,7,2253
"NC","Cleveland",20,32,30,14,0.384,49,13501
"NC","Columbus",23,31,28,13,0.392,22,8380
"NC","Craven",18,30,29,17,0.527,70,16389
"NC","Cumberland",22,32,27,16,1.114,243,25656
"NC","Currituck",18,28,25,16,0.291,4,3089
"NC","Dare",17,28,27,17,0.301,23,5677
"NC","Davidson",18,30,31,14,0.333,46,10889
"NC","Davie",16,28,27,15,0.263,16,3936
"NC","Duplin",22,29,32,13,0.345,15,8614
"NC","Durham",17,28,21,15,0.716,361,22435
"NC","Edgecombe",22,39,33,11,0.967,18,6693
"NC","Forsyth",18,29,24,14,0.7,393,26228
"NC","Franklin",20,32,29,15,0.335,12,5548
"NC","Gaston",21,34,30,15,0.605,139,22902
"NC","Gates",19,34,31,14,0.388,1,1598
"NC","Graham",19,31,26,14,0.126,3,1383
"NC","Granville",19,37,29,14,0.415,30,5872
"NC","Greene",22,34,29,14,0.392,4,2059
"NC","Guilford",19,28,23,15,0.748,396,37424
"NC","Halifax",23,39,35,12,0.78,32,8344
"NC","Harnett",20,33,28,16,0.383,41,15653
"NC","Haywood",17,26,24,14,0.194,46,10211
"NC","Henderson",16,24,24,14,0.194,92,20116
"NC","Hertford",22,35,33,12,0.663,11,3335
"NC","Hoke",23,35,30,15,0.489,5,2184
"NC","Hyde",19,30,29,14,0.222,1,1598
"NC","Iredell",17,28,23,16,0.286,110,17836
"NC","Jackson",20,32,28,17,0.267,41,5345
"NC","Johnston",20,35,24,15,0.314,50,14989
"NC","Jones",19,34,29,13,0.302,5,1056
"NC","Lee",20,29,25,15,0.522,31,4570
"NC","Lenoir",21,36,33,12,0.652,28,9835
"NC","Lincoln",19,29,28,16,0.247,32,9624
"NC","McDowell",20,30,31,14,0.242,15,6010
"NC","Macon",18,25,28,13,0.218,26,7575
"NC","Madison",19,25,28,16,0.222,10,3130
"NC","Martin",22,36,32,12,0.559,10,4520
"NC","Mecklenburg",16,24,21,17,0.628,895,69758
"NC","Mitchell",18,29,30,14,0.104,12,2571
"NC","Montgomery",21,32,28,13,0.387,11,3396
"NC","Moore",17,28,24,14,0.324,96,16441
"NC","Nash",19,31,31,13,0.583,57,13896
"NC","New Hanover",16,26,21,18,0.446,198,28103
"NC","Northampton",21,38,34,10,0.667,2,3586
"NC","Onslow",20,26,23,19,0.808,56,13090
"NC","Orange",17,20,15,17,0.341,255,14038
"NC","Pamlico",17,32,27,14,0.283,5,2532
"NC","Pasquotank",19,34,28,15,0.778,29,5387
"NC","Pender",19,29,26,15,0.282,19,6656
"NC","Perquimans",19,33,26,13,0.383,2,2703
"NC","Person",19,33,27,14,0.405,14,5232
"NC","Pitt",21,34,26,15,0.949,178,17168
"NC","Polk",15,27,26,14,0.118,12,4218
"NC","Randolph",20,30,31,15,0.256,60,12108
"NC","Richmond",21,37,32,13,0.478,19,6329
"NC","Robeson",29,39,34,13,0.752,62,14043
"NC","Rockingham",20,34,31,14,0.329,36,9053
"NC","Rowan",20,34,31,14,0.525,58,13471
"NC","Rutherford",22,28,29,14,0.287,35,10492
"NC","Sampson",20,39,32,13,0.416,29,7345
"NC","Scotland",25,37,27,12,0.826,26,4550
"NC","Stanly",18,30,32,15,0.304,27,8880
"NC","Stokes",19,34,31,15,0.231,9,3442
"NC","Surry",19,29,32,14,0.207,51,7481
"NC","Swain",23,35,29,14,0.297,13,2332
"NC","Transylvania",16,24,23,14,0.24,25,6368
"NC","Tyrrell",21,31,27,14,0.599,NA,593
"NC","Union",17,27,19,16,0.22,121,18424
"NC","Vance",22,37,33,12,0.8,20,5069
"NC","Wake",15,25,18,18,0.442,820,77638
"NC","Warren",22,38,30,12,0.525,3,2444
"NC","Washington",21,33,29,11,0.66,5,2281
"NC","Watauga",21,26,22,18,0.224,33,5449
"NC","Wayne",20,35,27,14,0.658,62,12729
"NC","Wilkes",20,26,29,13,0.152,26,7264
