"","County.Name","State","Score.Clot","Score.Sepsis","Score.Cath.Infection","Score.Serious.Complication","Score.Death.Complications"
"1611","MURRAY","GA",NA,NA,0.17,0.89,NA
"1612","MURRAY","MN",NA,NA,NA,NA,NA
"1613","MURRAY","OK",NA,NA,NA,NA,NA
"1614","MUSCATINE","IA",5.68,NA,0.16,0.9,NA
"1615","MUSCOGEE","GA",4.56,14.92,0.29,1.02,171.21
"1616","MUSKEGON","MI",3.09,11.05,0.13,0.72,127.93
"1617","MUSKINGUM","OH",2.87,9.19,0.25,0.77,109.66
"1618","MUSKOGEE","OK",7.47,9.46,0.2,1.04,179.67
"1619","MUSSELSHELL","MT",NA,NA,NA,NA,NA
"1620","NACOGDOCHES","TX",5.83,8.44,0.24,0.81,193.42
"1621","NANCE","NE",NA,NA,NA,NA,NA
"1622","NANTUCKET","MA",NA,NA,0.17,0.96,NA
"1623","NAPA","CA",3.44,14.21,0.3,1.19,121.43
"1624","NASH","NC",4.5,8.46,0.09,1.04,140.79
"1625","NASSAU","FL",6.4,NA,0.15,0.95,NA
"1626","NASSAU","NY",9.47,12.93,0.22,1.19,184.32
"1627","NATCHITOCHES","LA",4.86,NA,0.15,0.87,NA
"1628","NATRONA","WY",3.85,11.05,0.33,0.9,142.61
"1629","NAVAJO","AZ",5.84,8.87,0.17,1.05,135.47
"1630","NAVARRO","TX",5.57,9.11,0.15,1.05,NA
"1631","NELSON","KY",3.49,9.18,0.28,0.73,137.56
"1632","NELSON","ND",NA,NA,NA,NA,NA
"1633","NEMAHA","KS",NA,NA,NA,NA,NA
"1634","NEMAHA","NE",NA,NA,NA,NA,NA
"1635","NEOSHO","KS",NA,NA,NA,NA,NA
"1636","NESHOBA","MS",NA,NA,0.17,0.9,NA
"1637","NESS","KS",NA,NA,NA,NA,NA
"1638","NEVADA","CA",2.64,13.86,0.32,0.72,137.94
"1639","NEW CASTLE","DE",7.07,10.09,0.24,0.96,172.59
"1640","NEW HANOVER","NC",3.88,4.95,0.26,0.96,163.97
"1641","NEW HAVEN","CT",8.44,13.69,0.46,1.23,156.4
"1642","NEW KENT","VA",NA,NA,NA,NA,NA
"1643","NEW LONDON","CT",4.59,17.83,0.18,0.9,135.86
"1644","NEW MADRID","MO",4.27,11.26,0.14,0.9,126.05
"1645","NEW YORK","NY",8.78,16.1,0.43,1.34,148.38
"1646","NEWAYGO","MI",NA,NA,NA,NA,NA
"1647","NEWBERRY","SC",3.26,9.34,0.16,0.67,NA
"1648","NEWPORT","RI",6.85,11.41,0.14,1.22,NA
"1649","NEWPORT NEWS CITY","VA",4.6,10.46,0.12,1.12,158.89
"1650","NEWTON","GA",5.41,9.69,0.15,0.93,NA
"1651","NEWTON","MO",NA,NA,NA,NA,NA
"1652","NEWTON","MS",NA,NA,NA,NA,NA
"1653","NEZ PERCE","ID",4.1,10.24,0.33,0.96,136.71
"1654","NIAGARA","NY",7.96,9.54,0.14,1.06,NA
"1655","NICHOLAS","WV",4.69,NA,0.16,0.93,NA
"1656","NICOLLET","MN",NA,NA,NA,NA,NA
"1657","NIOBRARA","WY",NA,NA,NA,NA,NA
"1658","NOBLE","IN",4.74,NA,0.16,0.83,NA
"1659","NOBLE","OK",NA,NA,0.17,0.9,NA
"1660","NOBLES","MN",4.73,NA,0.17,0.82,NA
"1661","NODAWAY","MO",4.69,9.9,0.17,0.91,NA
"1662","NOLAN","TX",4.79,NA,0.16,0.79,NA
"1663","NOME","AK",NA,NA,NA,NA,NA
"1664","NORFOLK","MA",7.03,12.4,0.16,1.04,164.26
"1665","NORFOLK CITY","VA",11.8,12.92,0.3,1.22,157.72
"1666","NORMAN","MN",NA,NA,NA,NA,NA
"1667","NORTHAMPTON","PA",7.88,15.14,0.2,1.46,141.08
"1668","NORTHAMPTON","VA",4.12,NA,0.15,0.76,NA
"1669","NORTHUMBERLAND","PA",7.02,NA,0.17,1.04,NA
"1670","NORTHWEST ARCTIC","AK",NA,NA,NA,NA,NA
"1671","NORTON","KS",NA,NA,NA,NA,NA
"1672","NORTON CITY","VA",4.14,NA,0.15,0.89,NA
"1673","NOWATA","OK",NA,NA,NA,NA,NA
"1674","NOXUBEE","MS",NA,NA,NA,NA,NA
"1675","NUCKOLLS","NE",NA,NA,NA,NA,NA
"1676","NUECES","TX",4.42,12.16,0.25,0.73,144.8
"1677","NYE","NV",NA,NA,NA,NA,NA
"1678","OAKLAND","MI",10.14,12.38,0.3,1.31,153.85
"1679","OBION","TN",4.98,NA,0.16,0.93,NA
"1680","OBRIEN","IA",NA,NA,NA,NA,NA
"1681","OCEAN","NJ",5.27,9.62,0.21,0.99,136.18
"1682","OCEANA","MI",NA,NA,NA,NA,NA
"1683","OCHILTREE","TX",NA,NA,NA,NA,NA
"1684","OCONEE","SC",5.97,10.35,0.14,1.09,141.74
"1685","OCONTO","WI",NA,NA,NA,NA,NA
"1686","OGEMAW","MI",3.74,9.31,0.15,0.77,NA
"1687","OGLE","IL",NA,NA,NA,NA,NA
"1688","OHIO","KY",NA,NA,NA,NA,NA
"1689","OHIO","WV",7.63,8.92,0.22,1.09,152.65
"1690","OKALOOSA","FL",3.69,10.53,0.23,0.78,149.06
"1691","OKANOGAN","WA",NA,NA,NA,NA,NA
"1692","OKEECHOBEE","FL",5.96,12.99,0.14,0.91,114.72
"1693","OKFUSKEE","OK",NA,NA,NA,NA,NA
"1694","OKLAHOMA","OK",20.88,15.55,0.28,2.09,154.43
"1695","OKMULGEE","OK",NA,NA,0.17,0.89,NA
"1696","OKTIBBEHA","MS",5.05,10.01,0.15,0.74,NA
"1697","OLDHAM","KY",4.66,9.41,0.16,0.91,NA
"1698","OLMSTED","MN",5.67,12.52,0.18,0.89,97.05
"1699","ONEIDA","ID",NA,NA,NA,NA,NA
"1700","ONEIDA","NY",5.62,9.53,0.26,1.24,156.82
"1701","ONEIDA","WI",4.38,10.76,0.15,0.86,NA
"1702","ONONDAGA","NY",8.51,15.93,0.26,1.59,178.05
"1703","ONSLOW","NC",3.57,9.58,0.12,0.79,127.47
"1704","ONTARIO","NY",6.82,9.71,0.26,1.03,NA
"1705","ONTONAGON","MI",NA,NA,NA,NA,NA
"1706","ORANGE","CA",7.21,12.9,0.49,1.27,165.82
"1707","ORANGE","FL",6.11,10.61,0.32,1,145.78
"1708","ORANGE","IN",NA,NA,NA,NA,NA
"1709","ORANGE","NC",7.55,13.52,0.61,1.13,150.03
"1710","ORANGE","NY",6.49,11.87,0.16,0.99,141.99
"1711","ORANGE","VT",NA,NA,NA,NA,NA
"1712","ORANGEBURG","SC",5.66,10.49,0.11,0.97,166.71
"1713","ORLEANS","LA",10.46,11.45,0.68,1.63,145.06
"1714","ORLEANS","NY",NA,NA,NA,NA,NA
"1715","ORLEANS","VT",NA,NA,NA,NA,NA
"1716","OSAGE","OK",4.15,NA,0.12,0.74,139.05
"1717","OSBORNE","KS",NA,NA,NA,NA,NA
"1718","OSCEOLA","FL",5.82,11.51,0.18,0.93,138.54
"1719","OSCEOLA","IA",NA,NA,NA,NA,NA
"1720","OSCEOLA","MI",NA,NA,NA,NA,NA
"1721","OSWEGO","NY",5.03,NA,0.14,0.81,NA
"1722","OTERO","CO",6.65,NA,0.16,0.99,NA
"1723","OTERO","NM",3.77,8.92,0.15,0.9,127.46
"1724","OTOE","NE",NA,NA,NA,NA,NA
"1725","OTSEGO","MI",4.85,9.7,0.16,0.82,NA
"1726","OTSEGO","NY",6.71,15.97,0.25,1.12,166.63
"1727","OTTAWA","KS",NA,NA,NA,NA,NA
"1728","OTTAWA","MI",4.36,10.4,0.24,0.95,141.17
"1729","OTTAWA","OH",NA,NA,NA,NA,NA
"1730","OTTAWA","OK",4.05,NA,0.16,0.94,NA
"1731","OTTER TAIL","MN",3.83,NA,0.16,0.95,NA
"1732","OUACHITA","AR",4.2,9.29,0.16,0.72,NA
"1733","OUACHITA","LA",7.86,15.26,0.29,1.04,140.53
"1734","OUTAGAMIE","WI",4.71,11.59,0.14,0.86,170.27
"1735","OVERTON","TN",5.74,NA,0.16,1.16,NA
"1736","OWEN","KY",NA,NA,NA,NA,NA
"1737","OXFORD","ME",NA,NA,NA,NA,NA
"1738","OZAUKEE","WI",5.27,9.71,0.13,1.09,140.01
"1739","PACIFIC","WA",NA,NA,NA,NA,NA
"1740","PAGE","IA",NA,NA,NA,NA,NA
"1741","PAGE","VA",NA,NA,NA,NA,NA
"1742","PALM BEACH","FL",7.55,12.52,0.49,1.34,151.47
"1743","PALO ALTO","IA",NA,NA,NA,NA,NA
"1744","PALO PINTO","TX",6.12,9.57,0.16,1.09,NA
"1745","PANOLA","MS",5.13,NA,0.14,0.84,NA
"1746","PANOLA","TX",NA,NA,0.17,0.89,NA
"1747","PARK","MT",NA,NA,NA,NA,NA
"1748","PARK","WY",NA,NA,NA,NA,NA
"1749","PARKER","TX",3.12,11.52,0.14,0.66,132.48
"1750","PARMER","TX",NA,NA,NA,NA,NA
"1751","PASCO","FL",6.16,12.67,0.31,0.94,153.12
"1752","PASQUOTANK","NC",3.33,8.67,0.12,0.75,135.96
"1753","PASSAIC","NJ",5.67,16.51,0.64,1.04,163.91
"1754","PATRICK","VA",NA,NA,NA,NA,NA
"1755","PAULDING","GA",4.71,NA,0.16,0.97,NA
"1756","PAULDING","OH",NA,NA,NA,NA,NA
"1757","PAWNEE","KS",NA,NA,NA,NA,NA
"1758","PAWNEE","NE",NA,NA,NA,NA,NA
"1759","PAWNEE","OK",NA,NA,NA,NA,NA
"1760","PAYNE","OK",6.34,12.51,0.16,1,137.1
"1761","PEACH","GA",NA,NA,NA,NA,NA
"1762","PEARL RIVER","MS",5.71,10.86,0.16,1.09,NA
"1763","PECOS","TX",NA,NA,0.17,0.95,NA
"1764","PEMBINA","ND",NA,NA,NA,NA,NA
"1765","PEMISCOT","MO",4.95,NA,0.16,0.83,NA
"1766","PEND OREILLE","WA",NA,NA,NA,NA,NA
"1767","PENDER","NC",NA,NA,NA,NA,NA
"1768","PENNINGTON","MN",NA,NA,NA,NA,NA
"1769","PENNINGTON","SD",6.4,10.01,0.21,1.09,152.63
"1770","PENOBSCOT","ME",5.76,10.13,0.34,0.91,174.6
"1771","PEORIA","IL",3.99,19.42,0.21,1.1,147.24
"1772","PEPIN","WI",NA,NA,NA,NA,NA
"1773","PERKINS","NE",NA,NA,NA,NA,NA
"1774","PERRY","IL",NA,NA,NA,NA,NA
"1775","PERRY","IN",NA,NA,NA,NA,NA
"1776","PERRY","KY",3.37,11.09,0.1,0.68,132.75
"1777","PERRY","MO",NA,NA,NA,NA,NA
"1778","PERRY","MS",NA,NA,NA,NA,NA
"1779","PERRY","TN",NA,NA,0.17,0.9,NA
"1780","PERSHING","NV",NA,NA,NA,NA,NA
"1781","PERSON","NC",6.33,NA,0.16,0.96,NA
"1782","PETERSBURG CITY","VA",3.37,9.44,0.09,0.87,120.17
"1783","PETTIS","MO",3.5,11.84,0.14,1.13,146.26
"1784","PHELPS","MO",2.69,8.23,0.13,0.8,139.68
"1785","PHELPS","NE",NA,NA,NA,NA,NA
"1786","PHILADELPHIA","PA",10.45,12.12,0.31,1.21,185.5
"1787","PHILLIPS","AR",5.14,NA,0.17,0.86,NA
"1788","PHILLIPS","CO",NA,NA,NA,NA,NA
"1789","PHILLIPS","KS",NA,NA,NA,NA,NA
"1790","PHILLIPS","MT",NA,NA,NA,NA,NA
"1791","PIATT","IL",NA,NA,NA,NA,NA
"1792","PICKAWAY","OH",5.59,11.58,0.16,0.94,NA
"1793","PICKENS","AL",NA,NA,0.17,0.87,NA
"1794","PICKENS","GA",4.64,9.06,0.15,0.84,116.46
"1795","PICKENS","SC",6.15,11.59,0.17,1.09,124.82
"1796","PIERCE","ND",NA,NA,NA,NA,NA
"1797","PIERCE","NE",NA,NA,NA,NA,NA
"1798","PIERCE","WA",7.19,16.04,0.33,1.56,156.97
"1799","PIERCE","WI",NA,NA,NA,NA,NA
"1800","PIKE","AL",4.41,9.45,0.15,0.81,NA
"1801","PIKE","IL",NA,NA,NA,NA,NA
"1802","PIKE","KY",5.77,15.26,0.15,0.88,112.12
"1803","PIKE","MO",NA,NA,NA,NA,NA
"1804","PIKE","MS",6.98,9.56,0.22,1.11,119.91
"1805","PIKE","OH",NA,NA,NA,NA,NA
"1806","PIMA","AZ",6.98,10.78,0.25,1.47,182.2
"1807","PINAL","AZ",6.33,8.62,0.17,1.03,143.29
"1808","PINE","MN",NA,NA,NA,NA,NA
"1809","PINELLAS","FL",15.26,11.95,0.35,1.43,172.18
"1810","PIPESTONE","MN",NA,NA,NA,NA,NA
"1811","PISCATAQUIS","ME",NA,NA,NA,NA,NA
"1812","PITKIN","CO",NA,NA,NA,NA,NA
"1813","PITT","NC",5.1,12.21,0.13,1.01,147.63
"1814","PITTSBURG","OK",5.61,9.74,0.14,1.09,138.08
"1815","PLACER","CA",5.31,14.7,0.15,0.94,142.62
"1816","PLATTE","MO",3.91,11.15,0.14,0.86,118.06
"1817","PLATTE","NE",3.3,11.19,0.16,0.67,NA
"1818","PLATTE","WY",NA,NA,NA,NA,NA
"1819","PLUMAS","CA",NA,NA,NA,NA,NA
"1820","PLYMOUTH","IA",NA,NA,NA,NA,NA
"1821","PLYMOUTH","MA",4.24,15.94,0.32,0.9,158.51
"1822","POCAHONTAS","IA",NA,NA,NA,NA,NA
"1823","POCAHONTAS","WV",NA,NA,NA,NA,NA
"1824","POINTE COUPEE","LA",NA,NA,NA,NA,NA
"1825","POLK","AR",4.89,NA,0.17,0.82,NA
"1826","POLK","FL",6.22,11.17,0.33,0.88,144.22
"1827","POLK","GA",NA,NA,NA,NA,NA
"1828","POLK","IA",6.81,11.52,0.16,1.03,147.92
"1829","POLK","MN",NA,NA,NA,NA,NA
"1830","POLK","MO",3.98,NA,0.15,0.73,NA
"1831","POLK","NC",NA,NA,NA,NA,NA
"1832","POLK","NE",NA,NA,NA,NA,NA
"1833","POLK","OR",NA,NA,NA,NA,NA
"1834","POLK","TN",NA,NA,NA,NA,NA
"1835","POLK","TX",5.56,9.34,0.16,0.86,NA
"1836","POLK","WI",NA,NA,NA,NA,NA
"1837","PONCE","PR",NA,NA,NA,NA,NA
"1838","PONDERA","MT",NA,NA,NA,NA,NA
"1839","PONTOTOC","MS",NA,NA,NA,NA,NA
"1840","PONTOTOC","OK",7.57,16.81,0.16,1.09,142.19
"1841","POPE","AR",4.25,9.43,0.25,0.78,151.16
"1842","POPE","MN",NA,NA,NA,NA,NA
"1843","PORTAGE","OH",4.37,9.4,0.25,0.93,NA
"1844","PORTAGE","WI",3.55,11.47,0.14,0.82,NA
"1845","PORTER","IN",2.48,9.07,0.23,0.71,120.24
"1846","PORTSMOUTH CITY","VA",6.94,12.33,0.39,0.95,156.57
"1847","POTTAWATOMIE","KS",NA,NA,NA,NA,NA
"1848","POTTAWATOMIE","OK",4.37,9.44,0.15,1,122.2
"1849","POTTAWATTAMIE","IA",5.98,11.04,0.13,1.11,138.84
"1850","POTTER","PA",NA,NA,NA,NA,NA
"1851","POTTER","SD",NA,NA,NA,NA,NA
"1852","POTTER","TX",4.5,15.08,0.28,1.18,133.41
"1853","POWELL","MT",NA,NA,NA,NA,NA
"1854","POWER","ID",NA,NA,NA,NA,NA
"1855","POWESHIEK","IA",6.12,12.11,0.28,1,NA
"1856","PRAIRIE","MT",NA,NA,NA,NA,NA
"1857","PRATT","KS",14.89,12.15,0.16,1.4,127.58
"1858","PRENTISS","MS",NA,NA,0.17,0.88,NA
"1859","PRESTON","WV",NA,NA,NA,NA,NA
"1860","PRICE","WI",NA,NA,NA,NA,NA
"1861","PRINCE EDWARD","VA",6.62,NA,0.26,0.91,NA
"1862","PRINCE GEORGES","MD",NA,NA,NA,NA,NA
"1863","PRINCE WILLIAM","VA",5.52,10.56,0.17,0.99,130
"1864","PROVIDENCE","RI",5.73,15.78,0.25,1.36,155.62
"1865","PROWERS","CO",NA,NA,NA,NA,NA
"1866","PUEBLO","CO",4.61,11.5,0.23,1.12,152.32
"1867","PULASKI","AR",5.06,12.39,0.83,1.15,170.24
"1868","PULASKI","GA",6.54,NA,0.16,1.05,NA
"1869","PULASKI","IN",NA,NA,NA,NA,NA
"1870","PULASKI","KY",3.12,6.92,0.1,0.92,161.26
"1871","PULASKI","VA",3.89,NA,0.15,0.77,NA
"1872","PUSHMATAHA","OK",NA,NA,0.17,0.89,NA
"1873","PUTNAM","FL",4.8,8.76,0.23,0.91,145.07
"1874","PUTNAM","GA",NA,NA,NA,NA,NA
"1875","PUTNAM","IN",NA,NA,NA,NA,NA
"1876","PUTNAM","MO",NA,NA,NA,NA,NA
"1877","PUTNAM","NY",4.46,9.79,0.23,0.91,135.12
"1878","PUTNAM","TN",3.27,7.9,0.2,0.76,119.88
"1879","QUAY","NM",NA,NA,NA,NA,NA
"1880","QUEENS","NY",7.52,11.82,0.2,1.03,151.99
"1881","QUITMAN","MS",NA,NA,NA,NA,NA
"1882","RABUN","GA",NA,NA,NA,NA,NA
"1883","RACINE","WI",7.55,10.56,0.15,0.94,127.82
"1884","RALEIGH","WV",5.42,10.89,0.22,0.78,147.3
"1885","RAMSEY","MN",7.21,9.97,0.13,1.09,156.21
"1886","RAMSEY","ND",NA,NA,NA,NA,NA
"1887","RANDOLPH","AL",NA,NA,0.16,0.88,NA
"1888","RANDOLPH","AR",5.04,NA,0.17,0.89,NA
"1889","RANDOLPH","GA",NA,NA,NA,NA,NA
"1890","RANDOLPH","IL",NA,NA,NA,NA,NA
"1891","RANDOLPH","IN",NA,NA,NA,NA,NA
"1892","RANDOLPH","MO",5.52,11.61,0.16,1.06,NA
"1893","RANDOLPH","NC",3.89,9.4,0.13,0.61,110.57
"1894","RANDOLPH","WV",7.01,9.28,0.15,1.02,NA
"1895","RANKIN","MS",5.75,10.83,0.28,1.36,125.81
"1896","RANSOM","ND",NA,NA,NA,NA,NA
"1897","RAPIDES","LA",8.35,12.49,0.34,0.98,146.57
"1898","RAVALLI","MT",NA,NA,NA,NA,NA
"1899","RAWLINS","KS",NA,NA,NA,NA,NA
"1900","RAY","MO",NA,NA,NA,NA,NA
"1901","REAGAN","TX",NA,NA,NA,NA,NA
"1902","RED RIVER","LA",NA,NA,NA,NA,NA
"1903","RED WILLOW","NE",NA,NA,NA,NA,NA
"1904","REDWOOD","MN",NA,NA,NA,NA,NA
"1905","REEVES","TX",NA,NA,NA,NA,NA
"1906","REFUGIO","TX",NA,NA,NA,NA,NA
"1907","RENO","KS",4.75,9.41,0.29,0.95,137.04
"1908","RENSSELAER","NY",4.65,9.06,0.25,0.99,124.91
"1909","RENVILLE","MN",NA,NA,NA,NA,NA
"1910","REPUBLIC","KS",NA,NA,NA,NA,NA
"1911","REYNOLDS","MO",NA,NA,NA,NA,NA
"1912","RHEA","TN",NA,NA,NA,NA,NA
"1913","RICE","KS",NA,NA,NA,NA,NA
"1914","RICE","MN",5.66,9.79,0.17,0.96,NA
"1915","RICHARDSON","NE",NA,NA,NA,NA,NA
"1916","RICHLAND","IL",5.34,9.61,0.16,0.82,NA
"1917","RICHLAND","LA",4.87,NA,0.16,0.87,NA
"1918","RICHLAND","MT",NA,NA,NA,NA,NA
"1919","RICHLAND","OH",4.23,8.78,0.11,0.85,137.59
"1920","RICHLAND","SC",8.46,11.12,0.23,1.27,146.34
"1921","RICHLAND","WI",NA,NA,NA,NA,NA
"1922","RICHMOND","GA",10.78,15.24,0.36,1.18,187.24
"1923","RICHMOND","NC",4.59,NA,0.16,0.86,NA
"1924","RICHMOND","NY",17.38,13.31,0.29,1.62,184.16
"1925","RICHMOND CITY","VA",7.06,14.02,0.25,0.9,162.28
"1926","RILEY","KS",4.1,12,0.17,1.04,169.32
"1927","RINGGOLD","IA",NA,NA,NA,NA,NA
"1928","RIO ARRIBA","NM",4.68,11.11,0.28,0.86,NA
"1929","RIO BLANCO","CO",NA,NA,NA,NA,NA
"1930","RIO GRANDE","CO",NA,NA,NA,NA,NA
"1931","RIPLEY","IN",NA,NA,NA,NA,NA
"1932","RIPLEY","MO",NA,NA,0.17,0.9,NA
"1933","RIVERSIDE","CA",7.76,11.68,0.27,1.15,156.88
"1934","ROANE","TN",4.1,NA,0.14,0.7,NA
"1935","ROANE","WV",NA,NA,NA,NA,NA
"1936","ROANOKE CITY","VA",10.89,9.89,0.23,1.29,168.34
"1937","ROBERTS","SD",NA,NA,NA,NA,NA
"1938","ROBERTSON","TN",4.3,9.37,0.15,0.81,NA
"1939","ROBESON","NC",7.35,12.35,0.1,1.17,178.03
"1940","ROCK","MN",NA,NA,NA,NA,NA
"1941","ROCK","NE",NA,NA,NA,NA,NA
"1942","ROCK","WI",3.99,9.05,0.25,0.82,143.63
"1943","ROCK ISLAND","IL",4.57,10.43,0.14,1.1,119.44
"1944","ROCKCASTLE","KY",NA,NA,0.17,0.89,NA
"1945","ROCKDALE","GA",4.99,8.62,0.13,0.85,169.28
"1946","ROCKINGHAM","NC",4.59,NA,0.15,0.91,NA
"1947","ROCKINGHAM","NH",5.17,11.76,0.2,0.92,152.36
"1948","ROCKLAND","NY",5.79,12.48,0.31,0.96,145.47
"1949","ROCKWALL","TX",7.04,9.5,0.15,0.9,131.25
"1950","ROGER MILLS","OK",NA,NA,NA,NA,NA
"1951","ROGERS","OK",5.22,9.69,0.17,0.88,NA
"1952","ROLETTE","ND",NA,NA,0.17,0.9,NA
"1953","ROOKS","KS",NA,NA,NA,NA,NA
"1954","ROOSEVELT","MT",NA,NA,NA,NA,NA
"1955","ROOSEVELT","NM",NA,NA,0.16,0.87,NA
"1956","ROSEAU","MN",NA,NA,NA,NA,NA
"1957","ROSEBUD","MT",NA,NA,NA,NA,NA
"1958","ROSS","OH",3.2,14.54,0.11,0.84,143.51
"1959","ROUTT","CO",3.71,8.76,0.16,0.71,NA
"1960","ROWAN","KY",3.25,10.83,0.13,1.15,135.3
"1961","ROWAN","NC",5.04,7.58,0.21,0.82,136.92
"1962","RUNNELS","TX",NA,NA,NA,NA,NA
"1963","RUSH","IN",NA,NA,NA,NA,NA
"1964","RUSH","KS",NA,NA,NA,NA,NA
"1965","RUSK","TX",4.64,NA,0.17,0.84,NA
"1966","RUSK","WI",NA,NA,NA,NA,NA
"1967","RUSSELL","AL",2.84,8.37,0.16,0.71,NA
"1968","RUSSELL","KS",NA,NA,NA,NA,NA
"1969","RUSSELL","KY",NA,NA,NA,NA,NA
"1970","RUSSELL","VA",NA,NA,0.17,0.89,NA
"1971","RUTHERFORD","NC",4.07,NA,0.14,0.94,NA
"1972","RUTHERFORD","TN",5.01,15.25,0.17,0.9,146.69
"1973","RUTLAND","VT",4.46,8.68,0.22,0.93,128.3
"1974","SABINE","LA",NA,NA,0.17,0.89,NA
"1975","SABINE","TX",NA,NA,NA,NA,NA
"1976","SAC","IA",NA,NA,NA,NA,NA
"1977","SACRAMENTO","CA",7.98,15.59,0.31,1.18,158.9
"1978","SAGINAW","MI",7.56,15.92,0.17,1.06,151.78
"1979","SAINT BERNARD","LA",4.45,NA,0.28,0.78,NA
"1980","SAINT CHARLES","LA",6.05,NA,0.17,0.9,NA
"1981","SAINT CHARLES","MO",8.68,10.32,0.24,1.12,139.25
"1982","SAINT CLAIR","AL",4.95,NA,0.16,0.89,NA
"1983","SAINT CLAIR","IL",5.1,11.96,0.15,0.97,121.07
"1984","SAINT CLAIR","MI",4.38,12.01,0.2,0.88,133.53
"1985","SAINT CLAIR","MO",NA,NA,NA,NA,NA
"1986","SAINT CROIX","WI",NA,NA,NA,NA,NA
"1987","SAINT FRANCIS","AR",4.95,NA,0.16,1.05,NA
"1988","SAINT FRANCOIS","MO",4.74,11.38,0.15,0.92,NA
"1989","SAINT HELENA","LA",NA,NA,NA,NA,NA
"1990","SAINT JAMES","LA",NA,NA,NA,NA,NA
"1991","SAINT JOHNS","FL",7,11.11,0.09,1.11,117.62
"1992","SAINT JOSEPH","MI",4.82,NA,0.16,1.04,NA
"1993","SAINT LANDRY","LA",7.65,8.64,0.12,1.15,153.52
"1994","SAINT LAWRENCE","NY",5.98,10.77,0.16,0.97,130.76
"1995","SAINT LOUIS","MN",5.71,13.37,0.21,1.02,138.77
"1996","SAINT LOUIS","MO",9.96,13.91,0.39,1.27,161.82
"1997","SAINT LOUIS CITY","MO",18.64,12.24,0.18,1.84,129.56
"1998","SAINT LUCIE","FL",5.31,11.5,0.16,0.81,137.89
"1999","SAINT MARTIN","LA",NA,NA,NA,NA,NA
"2000","SAINT MARY","LA",4.21,9.66,0.26,0.71,NA
"2001","SAINT MARYS","MD",NA,NA,NA,NA,NA
"2002","SAINT TAMMANY","LA",6.94,14.1,0.24,1.07,162
"2003","SAINTE GENEVIEVE","MO",NA,NA,NA,NA,NA
"2004","SALEM","NJ",6.94,11.53,0.15,0.94,NA
"2005","SALEM","VA",3.83,9.91,0.08,0.66,147.51
"2006","SALINE","AR",2.63,8.73,0.13,0.54,NA
"2007","SALINE","IL",4.77,NA,0.16,0.8,NA
"2008","SALINE","KS",6.27,11.2,0.19,0.97,154.58
"2009","SALINE","MO",5.6,NA,0.16,0.87,NA
"2010","SALINE","NE",NA,NA,NA,NA,NA
"2011","SALT LAKE","UT",8.59,14.64,0.27,1.94,148.54
"2012","SAMPSON","NC",3.72,NA,0.15,0.74,NA
"2013","SAN AUGUSTINE","TX",NA,NA,NA,NA,NA
"2014","SAN BENITO","CA",6.05,9.88,0.16,1.08,NA
"2015","SAN BERNARDINO","CA",6.3,19.55,0.4,1.13,147.46
"2016","SAN DIEGO","CA",6.8,14.45,0.28,1.04,156.05
"2017","SAN FRANCISCO","CA",8.62,11.96,0.25,1.12,147.41
"2018","SAN GERMAN","PR",NA,NA,NA,NA,NA
"2019","SAN JOAQUIN","CA",6.88,15.06,0.26,1.14,159.27
"2020","SAN JUAN","NM",5.14,NA,0.17,1.08,168.75
"2021","SAN JUAN","PR",NA,NA,NA,NA,NA
"2022","SAN JUAN","UT",NA,NA,NA,NA,NA
"2023","SAN JUAN","WA",NA,NA,NA,NA,NA
"2024","SAN LUIS OBISPO","CA",3.85,11.43,0.26,0.92,150.58
"2025","SAN MATEO","CA",8.73,11.2,0.16,1.2,112.62
"2026","SAN MIGUEL","NM",4.89,NA,0.16,0.83,NA
"2027","SAN PATRICIO","TX",NA,NA,0.16,0.96,NA
"2028","SANDERS","MT",NA,NA,NA,NA,NA
"2029","SANDOVAL","NM",3.97,12.2,0.16,0.88,NA
"2030","SANDUSKY","OH",5.56,9.67,0.16,0.87,NA
"2031","SANGAMON","IL",5.21,11.38,0.12,1.08,153.54
"2032","SANILAC","MI",NA,NA,NA,NA,NA
"2033","SANPETE","UT",NA,NA,NA,NA,NA
"2034","SANTA BARBARA","CA",3.62,13.67,0.17,0.82,145.38
"2035","SANTA CLARA","CA",8.15,18.81,0.23,1.02,152.02
"2036","SANTA CRUZ","AZ",NA,NA,NA,NA,NA
"2037","SANTA CRUZ","CA",3.94,9.54,0.17,0.74,131.68
"2038","SANTA FE","NM",3.35,10.68,0.21,1.05,106.05
"2039","SANTA ROSA","FL",5.11,11.37,0.17,0.92,NA
"2040","SARASOTA","FL",4.62,9.72,0.36,0.87,145.92
"2041","SARATOGA","NY",7.43,9.81,0.12,0.93,128.63
"2042","SARPY","NE",7.3,9.62,0.16,0.97,134.07
"2043","SAUK","WI",5.12,NA,0.17,0.91,NA
"2044","SAUNDERS","NE",NA,NA,NA,NA,NA
"2045","SAWYER","WI",NA,NA,NA,NA,NA
"2046","SCHENECTADY","NY",3.63,8.86,0.17,0.89,143.16
"2047","SCHLEICHER","TX",NA,NA,NA,NA,NA
"2048","SCHOHARIE","NY",NA,NA,0.16,0.87,NA
"2049","SCHOOLCRAFT","MI",NA,NA,NA,NA,NA
"2050","SCHUYLER","IL",NA,NA,NA,NA,NA
