"","County.Name","State","Score.Clot","Score.Sepsis","Score.Cath.Infection","Score.Serious.Complication","Score.Death.Complications"
"1284","LAURENS","GA",3.86,10.87,0.14,0.72,145.93
"1285","LAURENS","SC",4.22,11.67,0.14,0.8,NA
"1286","LAVACA","TX",NA,NA,NA,NA,NA
"1287","LAWRENCE","AL",NA,NA,0.17,0.9,NA
"1288","LAWRENCE","AR",NA,NA,NA,NA,NA
"1289","LAWRENCE","IL",NA,NA,NA,NA,NA
"1290","LAWRENCE","IN",NA,NA,NA,NA,NA
"1291","LAWRENCE","KY",4.68,NA,0.16,0.87,NA
"1292","LAWRENCE","MO",NA,NA,NA,NA,NA
"1293","LAWRENCE","MS",NA,NA,NA,NA,NA
"1294","LAWRENCE","OH",4.89,NA,NA,0.87,NA
"1295","LAWRENCE","PA",4.88,11.2,0.16,0.96,122.92
"1296","LAWRENCE","SD",4.36,9.7,0.16,0.82,NA
"1297","LAWRENCE","TN",4.53,NA,0.16,0.86,NA
"1298","LE FLORE","OK",NA,NA,0.17,0.87,NA
"1299","LE SUEUR","MN",NA,NA,NA,NA,NA
"1300","LEA","NM",6.73,NA,0.16,0.92,NA
"1301","LEAKE","MS",NA,NA,NA,NA,NA
"1302","LEAVENWORTH","KS",4.86,NA,0.17,0.88,NA
"1303","LEBANON","PA",7.52,7.52,0.23,1.11,111.32
"1304","LEE","AL",4.5,8.54,0.19,0.62,149.67
"1305","LEE","FL",9.88,10.45,0.27,1.17,134.6
"1306","LEE","IA",4.98,9.09,0.16,0.92,NA
"1307","LEE","IL",3.45,14.44,0.15,0.93,121.94
"1308","LEE","MS",2.76,9.2,0.05,0.75,150.84
"1309","LEE","NC",3.88,NA,0.14,0.82,149.73
"1310","LEFLORE","MS",3.92,9.5,0.13,0.63,147.07
"1311","LEHIGH","PA",10.05,11.79,0.28,1.15,154.75
"1312","LEMHI","ID",NA,NA,NA,NA,NA
"1313","LENAWEE","MI",5.16,9.17,0.14,0.88,NA
"1314","LENOIR","NC",10,8.26,0.41,1.07,149.43
"1315","LEON","FL",4.41,10.91,0.16,0.94,135.92
"1316","LESLIE","KY",NA,NA,NA,NA,NA
"1317","LETCHER","KY",4.77,NA,0.15,0.76,NA
"1318","LEVY","FL",NA,NA,0.17,0.9,NA
"1319","LEWIS","NY",NA,NA,NA,NA,NA
"1320","LEWIS","WA",3.35,8.93,0.24,0.8,137.33
"1321","LEWIS","WV",5.18,NA,0.16,0.81,NA
"1322","LEWIS AND CLARK","MT",6.51,13.78,0.14,0.88,132.06
"1323","LEXINGTON","SC",7.28,11.44,0.16,1,181.42
"1324","LEXINGTON CITY","VA",NA,NA,NA,NA,NA
"1325","LIBERTY","GA",NA,NA,NA,NA,NA
"1326","LIBERTY","MT",NA,NA,NA,NA,NA
"1327","LIBERTY","TX",NA,NA,NA,NA,NA
"1328","LICKING","OH",3.36,NA,0.13,0.68,122.97
"1329","LIMESTONE","AL",5.27,9.73,0.14,0.87,NA
"1330","LIMESTONE","TX",NA,NA,0.17,0.87,NA
"1331","LINCOLN","CO",NA,NA,NA,NA,NA
"1332","LINCOLN","KS",NA,NA,NA,NA,NA
"1333","LINCOLN","KY",NA,NA,NA,NA,NA
"1334","LINCOLN","LA",7.3,9.52,0.13,1.12,154.28
"1335","LINCOLN","ME",NA,NA,NA,NA,NA
"1336","LINCOLN","MN",NA,NA,NA,NA,NA
"1337","LINCOLN","MO",NA,NA,NA,NA,NA
"1338","LINCOLN","MS",4.9,9.69,0.15,0.79,NA
"1339","LINCOLN","MT",NA,NA,NA,NA,NA
"1340","LINCOLN","NC",5.94,11.2,0.14,0.81,128.11
"1341","LINCOLN","NE",5.41,8.84,0.14,0.83,122.29
"1342","LINCOLN","NM",NA,NA,NA,NA,NA
"1343","LINCOLN","NV",NA,NA,NA,NA,NA
"1344","LINCOLN","OK",NA,NA,NA,NA,NA
"1345","LINCOLN","OR",NA,NA,NA,NA,NA
"1346","LINCOLN","SD",NA,NA,NA,NA,NA
"1347","LINCOLN","TN",6.41,NA,0.16,0.92,NA
"1348","LINCOLN","WA",NA,NA,NA,NA,NA
"1349","LINCOLN","WI",NA,NA,NA,NA,NA
"1350","LINCOLN","WY",NA,NA,NA,NA,NA
"1351","LINN","IA",2.93,15.2,0.12,0.7,114.53
"1352","LINN","MO",NA,NA,NA,NA,NA
"1353","LINN","OR",6.46,9.88,0.16,1.22,NA
"1354","LITCHFIELD","CT",5.02,9.88,0.15,0.96,135.86
"1355","LITTLE RIVER","AR",NA,NA,NA,NA,NA
"1356","LIVINGSTON","IL",6.12,9.97,0.16,0.92,NA
"1357","LIVINGSTON","KY",NA,NA,NA,NA,NA
"1358","LIVINGSTON","MI",3.83,NA,0.15,0.88,NA
"1359","LIVINGSTON","MO",NA,NA,NA,NA,NA
"1360","LIVINGSTON","NY",4.48,NA,0.16,0.78,NA
"1361","LLANO","TX",4.95,NA,0.17,0.84,NA
"1362","LOGAN","AR",NA,NA,NA,NA,NA
"1363","LOGAN","CO",4.04,9.86,0.16,0.95,NA
"1364","LOGAN","IL",NA,NA,NA,NA,NA
"1365","LOGAN","KS",NA,NA,NA,NA,NA
"1366","LOGAN","KY",4.49,NA,0.16,0.79,NA
"1367","LOGAN","OH",6.87,9.93,0.16,1.01,NA
"1368","LOGAN","OK",NA,NA,NA,NA,NA
"1369","LOGAN","WV",5.47,9.82,0.14,0.93,NA
"1370","LORAIN","OH",6.16,15.26,0.2,0.85,135.79
"1371","LOS ALAMOS","NM",5.98,NA,0.17,1.05,NA
"1372","LOS ANGELES","CA",10.34,15.15,0.39,1.52,186.03
